feature,variant_median,control_median,n_subjects,wilcoxon_statistic,p_value,rank_biserial,rb_ci_low,rb_ci_high,cohens_d,achieved_power,direction,p_value_fdr,significant_fdr
engagement_index,0.66311649142482,0.6722364197945783,9,0.0,0.00390625,-1.0,-1.0,-1.0,-1.001774753011638,0.7494820927865368,control>,0.0375,True
auc_deviation,31.743593750000002,116.22440278802414,9,0.0,0.00390625,-1.0,-1.0,-1.0,-2.621870178701591,0.9999991528079466,control>,0.0375,True
gaze_dispersion,0.1748871794871795,0.2557647548005989,9,0.0,0.00390625,-1.0,-1.0,-1.0,-2.8455296827451715,0.9999999544784284,control>,0.0375,True
x_flips,0.0,1.5660377358490567,9,0.0,0.00390625,-1.0,-1.0,-1.0,-3.431767371457123,,control>,0.0375,True
y_flips,0.0,1.9811320754716981,9,0.0,0.00390625,-1.0,-1.0,-1.0,-4.891413927089882,,control>,0.0375,True
occipital_gamma,-26.24671712159141,-26.191407912852075,9,1.0,0.0078125,-0.9555555555555556,-1.0,-0.7333333333333333,-0.8867755575740351,0.6459691264316397,control>,0.0625,False
idle_ratio,0.322425925925926,0.304973539532363,9,2.0,0.01171875,0.9111111111111111,0.6,1.0,1.241654657061091,0.9018734389355622,variant>,0.08035714285714285,False
click_count,0.44,0.5147058823529411,9,3.0,0.01953125,-0.8666666666666667,-1.0,-0.3333333333333333,-0.7876285009981877,0.5463505643216113,control>,0.1171875,False
parietal_alpha,-25.92773128354017,-25.952414879086145,9,8.0,0.09765625,0.6444444444444445,-0.023333333333333272,1.0,0.5352544796618524,0.2936392538046565,variant>,0.36057692307692313,False
parietal_beta,-25.690610158799384,-25.600992668127713,9,8.0,0.09765625,-0.6444444444444445,-1.0,0.06666666666666667,-0.6006515419699303,0.3550304551015336,control>,0.36057692307692313,False
occipital_alpha,-25.761748711541205,-25.71374833008391,9,8.0,0.09765625,0.6444444444444445,-0.06666666666666667,1.0,0.6664399384042371,0.42082025688167984,variant>,0.36057692307692313,False
velocity_max,1758.2252941176473,1969.2968444343794,9,7.0,0.07421875,-0.6888888888888889,-1.0,-0.022222222222222223,-0.737700384886353,0.4945209325846027,control>,0.36057692307692313,False
n_samples,131.31884057971016,118.34042553191489,9,8.0,0.09765625,0.6444444444444445,-0.06666666666666667,1.0,0.6723896572765896,0.42690848012940796,variant>,0.36057692307692313,False
acceleration_mean,791.365873015873,692.8111234745446,9,10.0,0.1640625,0.5555555555555556,-0.1566666666666666,1.0,0.5310294242912669,0.2898481029135246,variant>,0.375,False
gamma_power,-26.32381583541654,-26.292148510664365,9,9.0,0.12890625,-0.6,-1.0,0.06666666666666667,-0.4895298177363683,0.25390954870181276,control>,0.375,False
parietal_delta,-25.560276283950344,-25.548301068471737,9,9.0,0.12890625,-0.6,-1.0,0.06666666666666667,-0.5620716246126777,0.31822571825274376,control>,0.375,False
path_length_px,442.151923076923,638.5629475773317,9,10.0,0.1640625,-0.5555555555555556,-1.0,0.2,-0.4723315092058378,0.23975071596087968,control>,0.375,False
parietal_gamma,-26.395415708351006,-26.32281401929205,9,10.0,0.1640625,-0.5555555555555556,-1.0,0.2,-0.6949381643561733,0.45012196271087895,control>,0.375,False
occipital_beta,-25.33062035086478,-25.321045457234103,9,9.0,0.12890625,-0.6,-0.9555555555555556,0.15666666666666565,-0.628457771292051,0.3824439587516459,control>,0.375,False
frontal_alpha,-26.163930642754284,-26.23121601833905,9,10.0,0.1640625,0.5555555555555556,-0.2,1.0,0.44023168505267635,0.21456181366890434,variant>,0.375,False
saccade_mean_amp_deg,1.1229242424242423,1.0249399514344766,9,10.0,0.1640625,0.5555555555555556,-0.15555555555555556,1.0,0.49783690185521184,0.2609073387136011,variant>,0.375,False
alpha_power,-26.08705682990501,-26.11597944047821,9,11.0,0.203125,0.5111111111111111,-0.2,1.0,0.46863364077556036,0.23676563978057683,variant>,0.4431818181818182,False
fixation_mean_dur_ms,155.89705882352942,140.75757575757575,9,12.0,0.25,0.4666666666666667,-0.28888888888888886,0.9555555555555556,0.3743030754996603,0.16821715693150968,variant>,0.46153846153846156,False
central_beta,-25.88788843547369,-25.919308097413293,9,12.0,0.25,0.4666666666666667,-0.28888888888888886,1.0,0.37668305206473573,0.1697590593628197,variant>,0.46153846153846156,False
frontal_theta,-26.127263816764454,-26.11483675524643,9,12.0,0.25,0.4666666666666667,-0.28888888888888886,1.0,0.4034660389172263,0.1877959614523885,variant>,0.46153846153846156,False
central_alpha,-26.250918812232694,-26.29875981725588,9,12.0,0.25,0.4666666666666667,-0.24444444444444444,1.0,0.4745610166219087,0.2415607173780071,variant>,0.46153846153846156,False
central_theta,-26.132823594477543,-26.174070262796462,9,14.0,0.359375,0.37777777777777777,-0.4222222222222222,0.9555555555555556,0.3356615478704931,0.14459382660764364,variant>,0.5948275862068966,False
fixation_count,0.32,0.2413793103448276,9,14.0,0.359375,0.37777777777777777,-0.4666666666666667,0.8666666666666667,0.3542940484047051,0.15565155397996844,variant>,0.5948275862068966,False
theta_power,-26.002075777610692,-26.00898295137083,9,14.0,0.359375,0.37777777777777777,-0.3333333333333333,1.0,0.3274307053629512,0.13990790246492044,variant>,0.5948275862068966,False
parietal_theta,-25.9513284014252,-25.96572798335731,9,15.0,0.42578125,0.3333333333333333,-0.3333333333333333,1.0,0.17675212174502422,0.07562771835815664,variant>,0.659274193548387,False
nan_ratio,0.13541666666666666,0.14519788018651614,9,15.0,0.42578125,0.3333333333333333,-0.4222222222222222,0.9122222222222212,0.31145063737230344,0.1311592467951514,variant>,0.659274193548387,False
central_gamma,-26.5736179559789,-26.57282420723123,9,16.0,0.49609375,-0.28888888888888886,-1.0,0.4222222222222222,0.11520991650728957,0.06081202493299172,variant>,0.7215909090909091,False
theta_beta_ratio,-0.20862743789965504,-0.2615117097433702,9,16.0,0.49609375,0.28888888888888886,-0.4666666666666667,1.0,0.17501229971455096,0.07511997311260173,variant>,0.7215909090909091,False
spectral_entropy,3.1241196609569584,3.1368724077761105,9,17.0,0.5703125,-0.24444444444444444,-0.8666666666666667,0.5122222222222211,-0.20247592043336335,0.08374817195745561,control>,0.7821428571428571,False
saccade_count,31.40277777777778,27.791666666666668,9,17.0,0.5703125,0.24444444444444444,-0.5111111111111111,1.0,0.18314624642299585,0.07753875622886298,variant>,0.7821428571428571,False
central_delta,-25.763450087631618,-25.827892278075502,9,18.0,0.65234375,-0.2,-0.9555555555555556,0.6,-0.06453533326153398,0.053379454992178485,control>,0.8028846153846154,False
occipital_theta,-25.452581891051807,-25.433063852233516,9,18.0,0.65234375,0.2,-0.5555555555555556,0.9555555555555556,0.09000262056939572,0.056584105158867325,variant>,0.8028846153846154,False
beta_power,-25.69846772546754,-25.725786307568153,9,18.0,0.65234375,-0.2,-1.0,0.5555555555555556,-0.2700169652707087,0.11062386826644548,control>,0.8028846153846154,False
velocity_mean,498.87044117647065,566.8442695359801,9,18.0,0.65234375,-0.2,-0.8666666666666667,0.6888888888888889,-0.3102683037194123,0.13053027645097065,control>,0.8028846153846154,False
delta_power,-25.589818146335077,-25.603596089709537,9,19.0,0.734375,-0.15555555555555556,-0.8666666666666667,0.60111111111111,-0.14283474920295994,0.06666655399880736,control>,0.8392857142857143,False
frontal_beta,-25.70647288811869,-25.801898797150958,9,19.0,0.734375,0.15555555555555556,-0.6022222222222221,0.7788888888888879,0.13003731783160952,0.06379456235407711,variant>,0.8392857142857143,False
frontal_delta,-25.481486300951254,-25.433485883624257,9,19.0,0.734375,0.15555555555555556,-0.6888888888888889,0.7777777777777778,0.21335388402525884,0.08753008652731485,variant>,0.8392857142857143,False
FAA,0.17111208698647828,0.11970976028468132,9,20.0,0.8203125,0.1111111111111111,-0.6,0.8666666666666667,0.12099222005253793,0.06193124953946849,variant>,0.8948863636363636,False
frontal_gamma,-26.35744018489713,-26.34849030407059,9,20.0,0.8203125,-0.1111111111111111,-0.8666666666666667,0.6444444444444445,-0.08064475641663366,0.0552825368318593,control>,0.8948863636363636,False
blink_count,0.22666666666666666,0.3235294117647059,9,22.0,1.0,-0.022222222222222223,-0.7333333333333333,0.7333333333333333,-0.14651374554296093,0.06754353422703906,control>,1.0,False
occipital_delta,-25.118806060147485,-25.179675520835975,9,22.0,1.0,0.022222222222222223,-0.7799999999999999,0.7333333333333333,0.039336119092563585,0.05125411274920172,variant>,1.0,False
blink_rate_per_sec,0.10303030303030301,0.14705882352941177,9,22.0,1.0,-0.022222222222222223,-0.7333333333333333,0.7333333333333333,-0.14651374554263305,0.06754353422695987,control>,1.0,False
rage_click_flag,0.02666666666666667,0.014705882352941176,9,7.0,1.0,-0.06666666666666667,-0.7777777777777778,0.5555555555555556,0.15934961890559,0.07078378930308991,variant>,1.0,False
