subject_id,label,v3_phase,scenario_name,wall_time_ms,delta_power,theta_power,alpha_power,beta_power,gamma_power,frontal_delta,frontal_theta,frontal_alpha,frontal_beta,frontal_gamma,parietal_delta,parietal_theta,parietal_alpha,parietal_beta,parietal_gamma,occipital_delta,occipital_theta,occipital_alpha,occipital_beta,occipital_gamma,central_delta,central_theta,central_alpha,central_beta,central_gamma,theta_beta_ratio,engagement_index,spectral_entropy
14,1,variant,feedback_late,1776852838195.0,-25.577279466121084,-25.60652249537197,-25.997203283473567,-25.69015286270304,-26.19048473852527,-25.05708807671172,-25.01086296178796,-25.704532539621688,-25.510021752253227,-25.838691037403663,-26.17417881697016,-26.298673788179496,-26.43313285174637,-25.935944519051567,-26.283291793777767,-25.72376419467308,-25.804269093994257,-26.111437723194644,-25.621398839412468,-26.24433407814358,-25.92248657791796,-25.933543602286907,-26.187970312670934,-25.76087260514308,-26.41470312494111,0.4991587904652661,0.5085384399388786,3.187850466104429
14,1,variant,network_jitter,1776852470213.0,-25.37028435729422,-25.90245158586248,-26.31366025110824,-25.849130539558058,-26.41793008679664,-24.79388217019238,-25.478406574109076,-26.207007863632015,-25.637651993850245,-26.37104321811438,-26.026355388169083,-26.217524618284607,-26.475678724576547,-25.961953822139712,-26.457341534012407,-25.250068963799738,-25.986860071192226,-26.3186393741348,-25.93072975066348,-26.544584585344392,-25.71955430274844,-26.072324647519302,-26.27218436230338,-25.892973612745312,-26.57986546508169,0.1592454197411683,0.5731231189987006,3.064837541210937
14,1,variant,broken_image,1776852458207.0,-25.732956910622704,-25.836295473293656,-25.80551388875714,-25.68482022495605,-26.537162442940694,-25.30565212836396,-25.77843483027382,-25.84200543391004,-25.53528298561398,-26.426743651123235,-26.345744056246655,-26.06617902367595,-25.89103787418967,-25.850015549907532,-26.59719877528435,-25.63671292726561,-25.53439718515723,-25.919868487716197,-25.78620741864617,-26.46793342785577,-26.00298533330909,-25.926321330480068,-25.8195833600235,-25.67511818515447,-26.65062720612797,-0.2431518446598417,0.5295039062021417,3.174622159571342
14,1,variant,network_jitter,1776852545195.0,-25.803243774610156,-25.971574021678222,-26.173377252092976,-25.79915006732217,-26.54421327569707,-25.509641454086935,-25.674611188311577,-26.07340003067504,-25.447308987722163,-26.304799011768353,-26.1072987707499,-26.448259119306044,-26.47212144807284,-26.05962528503934,-26.582549338037705,-25.469779562218537,-26.023841249538716,-26.06797077994562,-25.94439230490387,-26.55335318155602,-26.04403542758766,-26.115835733164385,-26.232941860485784,-25.85875310357287,-26.655821691006047,-0.2273022005894134,0.5918712544205634,3.2020396242106086
14,1,variant,first_click_miss,1776852653195.0,-25.261635422220937,-25.81981033121142,-26.344491866565455,-25.761420835839115,-26.392866605946462,-24.75898849484875,-25.469145098666996,-26.352765692882908,-25.65630384436007,-26.208107990111483,-25.861914235104376,-26.055225558923674,-26.351013505925344,-25.957132708995477,-26.672762436291087,-25.47490804556986,-25.838208067266702,-26.179669934096392,-25.623953240353416,-26.38086951848901,-25.669396782823437,-26.166798398541715,-26.43265515762594,-25.913512226275316,-26.495939047199553,0.1871587456930754,0.6039926482758035,3.019476433222902
14,1,variant,feedback_late,1776852759195.0,-25.443278329228004,-26.106405834075836,-26.42163989508468,-25.71145545233071,-26.210824822545874,-24.960469634280287,-26.085830737367505,-26.351962792858902,-25.52318411490761,-26.018201789168405,-26.099332654841145,-26.201938800172275,-26.5264485350052,-25.968842502899065,-26.259072317924904,-25.18222563672035,-26.06310423748842,-26.114941971882615,-25.54748499452329,-26.226503648508203,-25.775095645792145,-26.400701613942935,-26.661326875456975,-25.802677843015825,-26.285557197216292,-0.5626466224598943,0.7622313481458977,3.1010816663132488
14,1,variant,first_click_miss,1776852589195.0,-25.47305004030788,-25.97076943847002,-26.27245703355057,-25.82282310707113,-26.520746014449085,-25.05685601537775,-25.604729771271515,-26.51015962219668,-25.710370015439157,-26.327826806845938,-26.028453476215223,-26.34241944661232,-26.259239736810223,-26.00062288546641,-26.6322837766484,-25.25735798544923,-25.454962427504,-26.19974218178473,-25.763549301408073,-26.629823712696492,-25.926759211603727,-26.341563573984367,-26.348597194196604,-25.779644338159944,-26.51587079388539,0.1056402441676418,0.6008574280816625,3.0286595243385577
14,1,variant,button_delay,1776852517708.0,-25.720060627804404,-26.056748875506365,-26.26897066698142,-25.77457280967314,-26.560508183636628,-25.151994973267815,-25.68990210930903,-26.226939482943173,-25.528566196741053,-26.30587717249376,-26.176376968699067,-26.38627175908878,-26.39974758892551,-25.91422584756267,-26.585525185396342,-25.585563447437476,-25.98074327665181,-26.00836096552324,-25.58420465962926,-26.606496490856543,-26.081101190639792,-26.32422043526552,-26.309541778572907,-26.066931468282657,-26.78129403866808,-0.1613359125679778,0.6577625456978152,3.1521071940366436
14,1,variant,slow_image,1776852647789.0,-25.189767921769935,-25.68498214280587,-25.92405319034799,-25.658521912030125,-26.389104876470057,-24.73931570019925,-25.42275774561952,-25.765755679904352,-25.43426147897744,-26.113475959680272,-25.529071897801245,-25.955063541742938,-26.148524015211688,-25.70343498478191,-26.322107707307236,-24.86985267468782,-25.297357530211546,-26.006697477681143,-25.73297925768053,-26.53914740182668,-25.670539664316472,-26.077331009896145,-25.987203365655343,-25.779476127542125,-26.664538858402775,0.0115037333579195,0.5319731864492014,3.054370481338921
14,1,variant,feedback_late,1776852452196.0,-25.18811368524304,-26.11373348220577,-26.31572895932222,-25.718087087702532,-26.494734542908105,-24.579443091733193,-25.924811153377767,-26.33020024421526,-25.635956938344258,-26.423590415301955,-25.748156740571066,-26.27724501446685,-26.354718753706088,-25.76316960673033,-26.46209492241534,-25.198436509990852,-25.859461595181397,-26.10054175025067,-25.344812233823703,-26.36990074471103,-25.669234595264637,-26.46268535430166,-26.456309896689856,-26.005015630741557,-26.57503329490754,-0.2888542150335098,0.7293953474654888,2.8870964218399005
