feature,importance
parietal_gamma,0.022727272727272707
frontal_central_alpha,0.022727272727272707
frontal_central_beta,0.022727272727272707
temporal_theta,0.022727272727272707
central_theta,0.022727272727272707
central_alpha,0.022727272727272707
occipital_gamma,0.022727272727272707
frontal_alpha,0.022727272727272707
frontal_theta,0.0
temporal_gamma,0.0
temporal_beta,0.0
temporal_alpha,0.0
occipital_beta,0.0
occipital_alpha,0.0
occipital_theta,0.0
parietal_theta,0.0
parietal_beta,0.0
parietal_alpha,0.0
central_gamma,0.0
central_beta,0.0
frontal_central_gamma,0.0
frontal_central_theta,0.0
frontal_gamma,0.0
frontal_beta,0.0
faa_dynamic,0.0
