metric,scenario,band,roi_a,roi_b,delta_mean,cohens_d,t_p_raw,t_p_fdr,wilcoxon_p_raw,wilcoxon_p_fdr,perm_p_raw,direction,significant,n_subjects
wpli,broken_image,theta,frontal,frontal,-0.013875450938940048,-0.3039761578181772,0.3884597367255661,0.8961168923688009,0.42578125,1.0,0.40298507462686567,decrease,False,9
wpli,broken_image,theta,frontal,frontal_central,0.013979603536427021,0.23380773554530543,0.502929161953892,0.8961168923688009,0.49609375,1.0,0.527363184079602,increase,False,9
wpli,broken_image,theta,frontal,central,0.001264085411094129,0.018421854786192352,0.9572821818129518,0.9882291874609811,0.65234375,1.0,0.9402985074626866,increase,False,9
wpli,broken_image,theta,frontal,parietal,0.00022503401851281524,0.0050734223545529054,0.9882291874609811,0.9882291874609811,0.8203125,1.0,1.0,increase,False,9
wpli,broken_image,theta,frontal,occipital,-0.012409999966621399,-0.22868524002163032,0.5120667956393148,0.8961168923688009,1.0,1.0,0.6119402985074627,decrease,False,9
wpli,broken_image,theta,frontal,temporal,0.005866570398211479,0.13125653376884233,0.7040383164057371,0.92405029028253,0.65234375,1.0,0.7064676616915423,increase,False,9
wpli,broken_image,theta,frontal_central,frontal_central,-0.002492493949830532,-0.06602719429651766,0.8479220790611843,0.9882291874609811,1.0,1.0,0.8606965174129353,decrease,False,9
wpli,broken_image,theta,frontal_central,central,0.0011828906135633588,0.031642030812879,0.9267081545569915,0.9882291874609811,1.0,1.0,0.8855721393034826,increase,False,9
wpli,broken_image,theta,frontal_central,parietal,0.003972301725298166,0.10529872419273072,0.7601655046508925,0.9390279763334555,0.734375,1.0,0.746268656716418,increase,False,9
wpli,broken_image,theta,frontal_central,occipital,-0.009548640809953213,-0.24911720084533925,0.47624141828848887,0.8961168923688009,0.8203125,1.0,0.4626865671641791,decrease,False,9
wpli,broken_image,theta,frontal_central,temporal,0.019374612718820572,0.402804223552741,0.26139259245773455,0.8961168923688009,0.359375,1.0,0.2537313432835821,increase,False,9
wpli,broken_image,theta,central,central,0.016613859683275223,0.1497186501855351,0.6652374894898964,0.92405029028253,0.91015625,1.0,0.6716417910447762,increase,False,9
wpli,broken_image,theta,central,parietal,-0.00888399314135313,-0.2860774414839478,0.4157353968939609,0.8961168923688009,0.359375,1.0,0.3482587064676617,decrease,False,9
wpli,broken_image,theta,central,occipital,-0.014721994288265705,-0.1474143219513691,0.6700252794583914,0.92405029028253,0.5703125,1.0,0.6766169154228856,decrease,False,9
wpli,broken_image,theta,central,temporal,0.023249907419085503,0.8797414428195052,0.029749123363741456,0.4782078105358534,0.0390625,0.41015625,0.029850746268656716,increase,False,9
wpli,broken_image,theta,parietal,parietal,-0.034294381737709045,-0.7886019951797157,0.045543601003414605,0.4782078105358534,0.0390625,0.41015625,0.05472636815920398,decrease,False,9
wpli,broken_image,theta,parietal,occipital,-0.017152486369013786,-0.2399345250754334,0.49213641911143746,0.8961168923688009,0.8203125,1.0,0.6169154228855721,decrease,False,9
wpli,broken_image,theta,parietal,temporal,-0.010382860898971558,-0.24679890961500725,0.48022232537094556,0.8961168923688009,0.12890625,0.90234375,0.5970149253731343,decrease,False,9
wpli,broken_image,theta,occipital,occipital,-0.016968753188848495,-0.16540349410325347,0.6330904896977658,0.92405029028253,0.8203125,1.0,0.5422885572139303,decrease,False,9
wpli,broken_image,theta,occipital,temporal,-0.03016478568315506,-0.40464432388460414,0.25939116140342555,0.8961168923688009,0.359375,1.0,0.24875621890547264,decrease,False,9
wpli,broken_image,theta,temporal,temporal,0.011643912643194199,0.2867064787927341,0.4147543278515049,0.8961168923688009,0.42578125,1.0,0.43283582089552236,increase,False,9
wpli,broken_image,alpha,frontal,frontal,-0.010767261497676373,-0.2946261213036852,0.40254244700702657,0.8651879585391803,0.49609375,0.7984375,0.36318407960199006,decrease,False,9
wpli,broken_image,alpha,frontal,frontal_central,-0.005380365531891584,-0.302647675153147,0.3904385796338232,0.8651879585391803,0.49609375,0.7984375,0.38308457711442784,decrease,False,9
wpli,broken_image,alpha,frontal,central,-0.013574874959886074,-0.5972989187222505,0.11091775059521353,0.7856646500293732,0.1640625,0.7984375,0.14427860696517414,decrease,False,9
wpli,broken_image,alpha,frontal,parietal,0.0016335812397301197,0.07050535740685052,0.8377735662426147,0.9009084619998249,1.0,1.0,0.8706467661691543,increase,False,9
wpli,broken_image,alpha,frontal,occipital,-0.008987297303974628,-0.2827459896515594,0.4209586967909329,0.8651879585391803,0.42578125,0.7984375,0.30845771144278605,decrease,False,9
wpli,broken_image,alpha,frontal,temporal,0.016260869801044464,0.5312610241879915,0.14965040952940442,0.7856646500293732,0.203125,0.7984375,0.1691542288557214,increase,False,9
wpli,broken_image,alpha,frontal_central,frontal_central,0.01028840709477663,0.2584494158751226,0.46043636013377776,0.8651879585391803,0.42578125,0.7984375,0.4427860696517413,increase,False,9
wpli,broken_image,alpha,frontal_central,central,-0.0036394065245985985,-0.1336009513562633,0.6990566289867832,0.8862321732564381,0.8203125,0.9066611842105263,0.6268656716417911,decrease,False,9
wpli,broken_image,alpha,frontal_central,parietal,0.0083518261089921,0.25329159844670535,0.46912798299517466,0.8651879585391803,0.49609375,0.7984375,0.472636815920398,increase,False,9
wpli,broken_image,alpha,frontal_central,occipital,-0.005613932851701975,-0.16499812730192875,0.633911394769759,0.8862321732564381,0.65234375,0.8058363970588235,0.5970149253731343,decrease,False,9
wpli,broken_image,alpha,frontal_central,temporal,0.005928264930844307,0.2157524153543301,0.5355925457623497,0.8651879585391803,0.5703125,0.7984375,0.5373134328358209,increase,False,9
wpli,broken_image,alpha,central,central,-0.002256204606965184,-0.05127450026854887,0.88155845323302,0.9009084619998249,0.5703125,0.7984375,0.9154228855721394,decrease,False,9
wpli,broken_image,alpha,central,parietal,-0.0018028153572231531,-0.06717720099372869,0.8453129442309344,0.9009084619998249,0.42578125,0.7984375,0.8955223880597015,decrease,False,9
wpli,broken_image,alpha,central,occipital,-0.008841906674206257,-0.23702644731152148,0.49724058643134306,0.8651879585391803,0.65234375,0.8058363970588235,0.5174129353233831,decrease,False,9
wpli,broken_image,alpha,central,temporal,0.011126806028187275,0.580268373051427,0.11989757218703977,0.7856646500293732,0.12890625,0.7984375,0.12935323383084577,increase,False,9
wpli,broken_image,alpha,parietal,parietal,-0.001335061271674931,-0.04284052792070711,0.9009084619998249,0.9009084619998249,0.734375,0.8567708333333334,0.9104477611940298,decrease,False,9
wpli,broken_image,alpha,parietal,occipital,-0.01325806975364685,-0.3184720975703993,0.3673424380437242,0.8651879585391803,1.0,1.0,0.44776119402985076,decrease,False,9
wpli,broken_image,alpha,parietal,temporal,-0.004565984010696411,-0.18908646891495956,0.5860989558302668,0.8791484337454003,0.1640625,0.7984375,0.6169154228855721,decrease,False,9
wpli,broken_image,alpha,occipital,occipital,0.020875470712780952,0.30084424986131947,0.3931365357340526,0.8651879585391803,0.42578125,0.7984375,0.373134328358209,increase,False,9
wpli,broken_image,alpha,occipital,temporal,-0.020549949258565903,-0.6114361507876555,0.10394848429644199,0.7856646500293732,0.12890625,0.7984375,0.0945273631840796,decrease,False,9
wpli,broken_image,alpha,temporal,temporal,-0.0042314063757658005,-0.1249911010642801,0.7174260450171166,0.8862321732564381,0.49609375,0.7984375,0.7810945273631841,decrease,False,9
wpli,broken_image,beta,frontal,frontal,-0.011082046665251255,-0.32123616274815997,0.3634144661194362,0.8479670876120178,0.49609375,0.8681640625,0.39303482587064675,decrease,False,9
wpli,broken_image,beta,frontal,frontal_central,-0.0067174071446061134,-0.3375774221921752,0.34083444390195633,0.8479670876120178,0.42578125,0.8128551136363636,0.3582089552238806,decrease,False,9
wpli,broken_image,beta,frontal,central,-0.010558992624282837,-0.5897389031266467,0.11482313329685323,0.6214799344923526,0.07421875,0.51953125,0.13930348258706468,decrease,False,9
