scenario,metric,band,top_connection,cohens_d,fdr_p,perm_p,direction,n_subjects,wilcoxon_fdr_p,perm_p_raw
broken_image,wpli,theta,,,,,,9,,
broken_image,wpli,alpha,,,,,,9,,
broken_image,wpli,beta,,,,,,9,,
broken_image,wpli,gamma,,,,,,9,,
button_delay,wpli,theta,,,,,,7,,
button_delay,wpli,alpha,,,,,,7,,
button_delay,wpli,beta,,,,,,7,,
button_delay,wpli,gamma,,,,,,7,,
coupon_expired,wpli,theta,,,,,,4,,
coupon_expired,wpli,alpha,,,,,,4,,
coupon_expired,wpli,beta,,,,,,4,,
coupon_expired,wpli,gamma,,,,,,4,,
coupon_min_spend,wpli,theta,,,,,,9,,
coupon_min_spend,wpli,alpha,,,,,,9,,
coupon_min_spend,wpli,beta,,,,,,9,,
coupon_min_spend,wpli,gamma,,,,,,9,,
facet_reset_once,wpli,theta,,,,,,7,,
facet_reset_once,wpli,alpha,,,,,,7,,
facet_reset_once,wpli,beta,frontal_central-parietal,-2.198649888849636,0.02381311397401574,,decrease,7,0.328125,0.029850746268656716
facet_reset_once,wpli,gamma,,,,,,7,,
feedback_late,wpli,theta,,,,,,9,,
feedback_late,wpli,alpha,,,,,,9,,
feedback_late,wpli,beta,,,,,,9,,
feedback_late,wpli,gamma,,,,,,9,,
first_click_miss,wpli,theta,,,,,,8,,
first_click_miss,wpli,alpha,,,,,,8,,
first_click_miss,wpli,beta,,,,,,8,,
first_click_miss,wpli,gamma,,,,,,8,,
network_jitter,wpli,theta,,,,,,9,,
network_jitter,wpli,alpha,,,,,,9,,
network_jitter,wpli,beta,,,,,,9,,
network_jitter,wpli,gamma,,,,,,9,,
overlay_blocking,wpli,theta,,,,,,1,,
overlay_blocking,wpli,alpha,,,,,,1,,
overlay_blocking,wpli,beta,,,,,,1,,
overlay_blocking,wpli,gamma,,,,,,1,,
price_change,wpli,theta,,,,,,5,,
price_change,wpli,alpha,,,,,,5,,
price_change,wpli,beta,,,,,,5,,
price_change,wpli,gamma,,,,,,5,,
search_irrelevant,wpli,theta,,,,,,1,,
search_irrelevant,wpli,alpha,,,,,,1,,
search_irrelevant,wpli,beta,,,,,,1,,
search_irrelevant,wpli,gamma,,,,,,1,,
skeleton_prolong,wpli,theta,,,,,,9,,
skeleton_prolong,wpli,alpha,,,,,,9,,
skeleton_prolong,wpli,beta,,,,,,9,,
skeleton_prolong,wpli,gamma,parietal-temporal,1.7184577742622857,0.01824008283221785,,increase,9,0.08203125,0.009950248756218905
slow_image,wpli,theta,,,,,,9,,
slow_image,wpli,alpha,,,,,,9,,
slow_image,wpli,beta,,,,,,9,,
slow_image,wpli,gamma,,,,,,9,,
sort_reset,wpli,theta,,,,,,8,,
sort_reset,wpli,alpha,,,,,,8,,
sort_reset,wpli,beta,,,,,,8,,
sort_reset,wpli,gamma,,,,,,8,,
broken_image,aec,theta,,,,,,9,,
broken_image,aec,alpha,,,,,,9,,
broken_image,aec,beta,,,,,,9,,
broken_image,aec,gamma,,,,,,9,,
button_delay,aec,theta,,,,,,7,,
button_delay,aec,alpha,,,,,,7,,
button_delay,aec,beta,,,,,,7,,
button_delay,aec,gamma,,,,,,7,,
coupon_expired,aec,theta,,,,,,4,,
coupon_expired,aec,alpha,,,,,,4,,
coupon_expired,aec,beta,,,,,,4,,
coupon_expired,aec,gamma,,,,,,4,,
coupon_min_spend,aec,theta,,,,,,9,,
coupon_min_spend,aec,alpha,,,,,,9,,
coupon_min_spend,aec,beta,,,,,,9,,
coupon_min_spend,aec,gamma,,,,,,9,,
facet_reset_once,aec,theta,,,,,,7,,
facet_reset_once,aec,alpha,,,,,,7,,
facet_reset_once,aec,beta,,,,,,7,,
facet_reset_once,aec,gamma,occipital-occipital,-2.369530685836863,0.01606930687319704,,decrease,7,0.109375,0.014925373134328358
feedback_late,aec,theta,,,,,,9,,
feedback_late,aec,alpha,,,,,,9,,
feedback_late,aec,beta,,,,,,9,,
feedback_late,aec,gamma,,,,,,9,,
first_click_miss,aec,theta,,,,,,8,,
first_click_miss,aec,alpha,,,,,,8,,
first_click_miss,aec,beta,,,,,,8,,
first_click_miss,aec,gamma,,,,,,8,,
network_jitter,aec,theta,frontal-occipital,1.372363979170643,0.0315228230261329,,increase,9,0.0615234375,0.009950248756218905
network_jitter,aec,alpha,,,,,,9,,
network_jitter,aec,beta,,,,,,9,,
network_jitter,aec,gamma,,,,,,9,,
overlay_blocking,aec,theta,,,,,,1,,
overlay_blocking,aec,alpha,,,,,,1,,
overlay_blocking,aec,beta,,,,,,1,,
overlay_blocking,aec,gamma,,,,,,1,,
price_change,aec,theta,,,,,,5,,
price_change,aec,alpha,,,,,,5,,
price_change,aec,beta,,,,,,5,,
price_change,aec,gamma,,,,,,5,,
search_irrelevant,aec,theta,,,,,,1,,
search_irrelevant,aec,alpha,,,,,,1,,
search_irrelevant,aec,beta,,,,,,1,,
search_irrelevant,aec,gamma,,,,,,1,,
skeleton_prolong,aec,theta,,,,,,9,,
skeleton_prolong,aec,alpha,,,,,,9,,
skeleton_prolong,aec,beta,,,,,,9,,
skeleton_prolong,aec,gamma,,,,,,9,,
slow_image,aec,theta,,,,,,9,,
slow_image,aec,alpha,,,,,,9,,
slow_image,aec,beta,,,,,,9,,
slow_image,aec,gamma,,,,,,9,,
sort_reset,aec,theta,,,,,,8,,
sort_reset,aec,alpha,,,,,,8,,
sort_reset,aec,beta,frontal-temporal,-1.7800469380538508,0.031612329945212535,,decrease,8,0.1640625,0.01990049751243781
sort_reset,aec,gamma,,,,,,8,,
