metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,-0.013875450938940048
wpli,theta,frontal,frontal_central,0.013979603536427021
wpli,theta,frontal,central,0.001264085411094129
wpli,theta,frontal,parietal,0.00022503401851281524
wpli,theta,frontal,occipital,-0.012409999966621399
wpli,theta,frontal,temporal,0.005866570398211479
wpli,theta,frontal_central,frontal,0.013979603536427021
wpli,theta,frontal_central,frontal_central,-0.002492493949830532
wpli,theta,frontal_central,central,0.0011828906135633588
wpli,theta,frontal_central,parietal,0.003972301725298166
wpli,theta,frontal_central,occipital,-0.009548640809953213
wpli,theta,frontal_central,temporal,0.019374612718820572
wpli,theta,central,frontal,0.001264085411094129
wpli,theta,central,frontal_central,0.0011828906135633588
wpli,theta,central,central,0.016613859683275223
wpli,theta,central,parietal,-0.00888399314135313
wpli,theta,central,occipital,-0.014721996150910854
wpli,theta,central,temporal,0.023249907419085503
wpli,theta,parietal,frontal,0.00022503401851281524
wpli,theta,parietal,frontal_central,0.003972301725298166
wpli,theta,parietal,central,-0.00888399314135313
wpli,theta,parietal,parietal,-0.034294381737709045
wpli,theta,parietal,occipital,-0.017152486369013786
wpli,theta,parietal,temporal,-0.010382860898971558
wpli,theta,occipital,frontal,-0.012409999966621399
wpli,theta,occipital,frontal_central,-0.009548640809953213
wpli,theta,occipital,central,-0.014721996150910854
wpli,theta,occipital,parietal,-0.017152486369013786
wpli,theta,occipital,occipital,-0.016968749463558197
wpli,theta,occipital,temporal,-0.03016478568315506
wpli,theta,temporal,frontal,0.005866570398211479
wpli,theta,temporal,frontal_central,0.019374612718820572
wpli,theta,temporal,central,0.023249907419085503
wpli,theta,temporal,parietal,-0.010382860898971558
wpli,theta,temporal,occipital,-0.03016478568315506
wpli,theta,temporal,temporal,0.011643912643194199
wpli,alpha,frontal,frontal,-0.010767261497676373
wpli,alpha,frontal,frontal_central,-0.005380365531891584
wpli,alpha,frontal,central,-0.013574874959886074
wpli,alpha,frontal,parietal,0.0016335812397301197
wpli,alpha,frontal,occipital,-0.008987297303974628
wpli,alpha,frontal,temporal,0.016260869801044464
wpli,alpha,frontal_central,frontal,-0.005380365531891584
wpli,alpha,frontal_central,frontal_central,0.01028840709477663
wpli,alpha,frontal_central,central,-0.0036394065245985985
wpli,alpha,frontal_central,parietal,0.0083518261089921
wpli,alpha,frontal_central,occipital,-0.005613932851701975
wpli,alpha,frontal_central,temporal,0.005928264930844307
wpli,alpha,central,frontal,-0.013574874959886074
wpli,alpha,central,frontal_central,-0.0036394065245985985
wpli,alpha,central,central,-0.002256204606965184
wpli,alpha,central,parietal,-0.0018028153572231531
wpli,alpha,central,occipital,-0.008841906674206257
wpli,alpha,central,temporal,0.011126806028187275
wpli,alpha,parietal,frontal,0.0016335812397301197
wpli,alpha,parietal,frontal_central,0.0083518261089921
wpli,alpha,parietal,central,-0.0018028153572231531
wpli,alpha,parietal,parietal,-0.001335061271674931
wpli,alpha,parietal,occipital,-0.01325806975364685
wpli,alpha,parietal,temporal,-0.004565984010696411
wpli,alpha,occipital,frontal,-0.008987297303974628
wpli,alpha,occipital,frontal_central,-0.005613932851701975
wpli,alpha,occipital,central,-0.008841906674206257
wpli,alpha,occipital,parietal,-0.01325806975364685
wpli,alpha,occipital,occipital,0.020875470712780952
wpli,alpha,occipital,temporal,-0.020549949258565903
wpli,alpha,temporal,frontal,0.016260869801044464
wpli,alpha,temporal,frontal_central,0.005928264930844307
wpli,alpha,temporal,central,0.011126806028187275
wpli,alpha,temporal,parietal,-0.004565984010696411
wpli,alpha,temporal,occipital,-0.020549949258565903
wpli,alpha,temporal,temporal,-0.0042314063757658005
wpli,beta,frontal,frontal,-0.011082046665251255
wpli,beta,frontal,frontal_central,-0.0067174071446061134
wpli,beta,frontal,central,-0.010558992624282837
wpli,beta,frontal,parietal,-0.005707194563001394
wpli,beta,frontal,occipital,-0.011942525394260883
wpli,beta,frontal,temporal,0.010049690492451191
wpli,beta,frontal_central,frontal,-0.0067174071446061134
wpli,beta,frontal_central,frontal_central,0.0008525550365447998
wpli,beta,frontal_central,central,-0.013892736285924911
wpli,beta,frontal_central,parietal,-0.0009154379367828369
wpli,beta,frontal_central,occipital,-0.006487869657576084
wpli,beta,frontal_central,temporal,0.0006363557185977697
wpli,beta,central,frontal,-0.010558992624282837
wpli,beta,central,frontal_central,-0.013892736285924911
wpli,beta,central,central,-0.013090676628053188
wpli,beta,central,parietal,-0.0036965077742934227
wpli,beta,central,occipital,-0.0060184430330991745
wpli,beta,central,temporal,0.0027339027728885412
wpli,beta,parietal,frontal,-0.005707194563001394
wpli,beta,parietal,frontal_central,-0.0009154379367828369
wpli,beta,parietal,central,-0.0036965077742934227
wpli,beta,parietal,parietal,0.0014174713287502527
wpli,beta,parietal,occipital,-0.004929181654006243
wpli,beta,parietal,temporal,0.00011803375673480332
wpli,beta,occipital,frontal,-0.011942525394260883
wpli,beta,occipital,frontal_central,-0.006487869657576084
wpli,beta,occipital,central,-0.0060184430330991745
wpli,beta,occipital,parietal,-0.004929181654006243
wpli,beta,occipital,occipital,0.00384525116533041
wpli,beta,occipital,temporal,-0.008862297050654888
wpli,beta,temporal,frontal,0.010049690492451191
wpli,beta,temporal,frontal_central,0.0006363557185977697
wpli,beta,temporal,central,0.0027339027728885412
wpli,beta,temporal,parietal,0.00011803375673480332
wpli,beta,temporal,occipital,-0.008862297050654888
wpli,beta,temporal,temporal,-0.013721250928938389
wpli,gamma,frontal,frontal,-0.014819066040217876
wpli,gamma,frontal,frontal_central,0.0057191913947463036
wpli,gamma,frontal,central,-0.003357446752488613
wpli,gamma,frontal,parietal,-0.012707729823887348
wpli,gamma,frontal,occipital,-0.017249150201678276
wpli,gamma,frontal,temporal,-0.007508105598390102
wpli,gamma,frontal_central,frontal,0.0057191913947463036
wpli,gamma,frontal_central,frontal_central,0.012918038293719292
wpli,gamma,frontal_central,central,-0.022330978885293007
wpli,gamma,frontal_central,parietal,-0.006222774740308523
wpli,gamma,frontal_central,occipital,0.005818711593747139
wpli,gamma,frontal_central,temporal,0.007161855697631836
wpli,gamma,central,frontal,-0.003357446752488613
wpli,gamma,central,frontal_central,-0.022330978885293007
wpli,gamma,central,central,-0.023048635572195053
wpli,gamma,central,parietal,-0.010355042293667793
wpli,gamma,central,occipital,-0.008577901870012283
wpli,gamma,central,temporal,0.0028818415012210608
wpli,gamma,parietal,frontal,-0.012707729823887348
wpli,gamma,parietal,frontal_central,-0.006222774740308523
wpli,gamma,parietal,central,-0.010355042293667793
wpli,gamma,parietal,parietal,-0.02302556298673153
wpli,gamma,parietal,occipital,0.0005244943895377219
wpli,gamma,parietal,temporal,0.0012306405697017908
wpli,gamma,occipital,frontal,-0.017249150201678276
wpli,gamma,occipital,frontal_central,0.005818711593747139
wpli,gamma,occipital,central,-0.008577901870012283
wpli,gamma,occipital,parietal,0.0005244943895377219
wpli,gamma,occipital,occipital,0.010420560836791992
wpli,gamma,occipital,temporal,0.0009806520538404584
wpli,gamma,temporal,frontal,-0.007508105598390102
wpli,gamma,temporal,frontal_central,0.007161855697631836
wpli,gamma,temporal,central,0.0028818415012210608
wpli,gamma,temporal,parietal,0.0012306405697017908
wpli,gamma,temporal,occipital,0.0009806520538404584
wpli,gamma,temporal,temporal,-0.005334546323865652
aec,theta,frontal,frontal,-0.054005663841962814
aec,theta,frontal,frontal_central,-0.04463823512196541
aec,theta,frontal,central,0.036586835980415344
