metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,0.023950645700097084
wpli,theta,frontal,frontal_central,0.011241857893764973
wpli,theta,frontal,central,-0.006162217818200588
wpli,theta,frontal,parietal,0.027303431183099747
wpli,theta,frontal,occipital,-0.003950412850826979
wpli,theta,frontal,temporal,0.008979307487607002
wpli,theta,frontal_central,frontal,0.011241857893764973
wpli,theta,frontal_central,frontal_central,-0.019997160881757736
wpli,theta,frontal_central,central,0.006004444323480129
wpli,theta,frontal_central,parietal,0.026666084304451942
wpli,theta,frontal_central,occipital,-0.012711931951344013
wpli,theta,frontal_central,temporal,0.021911991760134697
wpli,theta,central,frontal,-0.006162217818200588
wpli,theta,central,frontal_central,0.006004444323480129
wpli,theta,central,central,-0.01896287314593792
wpli,theta,central,parietal,0.006751209497451782
wpli,theta,central,occipital,-0.0226882491260767
wpli,theta,central,temporal,0.011335419490933418
wpli,theta,parietal,frontal,0.027303431183099747
wpli,theta,parietal,frontal_central,0.026666084304451942
wpli,theta,parietal,central,0.006751209497451782
wpli,theta,parietal,parietal,0.020626535639166832
wpli,theta,parietal,occipital,0.035341206938028336
wpli,theta,parietal,temporal,0.023238105699419975
wpli,theta,occipital,frontal,-0.003950412850826979
wpli,theta,occipital,frontal_central,-0.012711931951344013
wpli,theta,occipital,central,-0.0226882491260767
wpli,theta,occipital,parietal,0.035341206938028336
wpli,theta,occipital,occipital,-0.03818615525960922
wpli,theta,occipital,temporal,0.0011161352740600705
wpli,theta,temporal,frontal,0.008979307487607002
wpli,theta,temporal,frontal_central,0.021911991760134697
wpli,theta,temporal,central,0.011335419490933418
wpli,theta,temporal,parietal,0.023238105699419975
wpli,theta,temporal,occipital,0.0011161352740600705
wpli,theta,temporal,temporal,0.01910370960831642
wpli,alpha,frontal,frontal,0.019334405660629272
wpli,alpha,frontal,frontal_central,0.007867864333093166
wpli,alpha,frontal,central,-0.0023127198219299316
wpli,alpha,frontal,parietal,0.007939023897051811
wpli,alpha,frontal,occipital,0.013513480313122272
wpli,alpha,frontal,temporal,-0.0004289490752853453
wpli,alpha,frontal_central,frontal,0.007867864333093166
wpli,alpha,frontal_central,frontal_central,0.008809970691800117
wpli,alpha,frontal_central,central,0.003637037007138133
wpli,alpha,frontal_central,parietal,0.013724952936172485
wpli,alpha,frontal_central,occipital,0.002124875783920288
wpli,alpha,frontal_central,temporal,0.009815326891839504
wpli,alpha,central,frontal,-0.0023127198219299316
wpli,alpha,central,frontal_central,0.003637037007138133
wpli,alpha,central,central,-0.008735282346606255
wpli,alpha,central,parietal,0.006973019801080227
wpli,alpha,central,occipital,0.001760955317877233
wpli,alpha,central,temporal,-0.0061996025033295155
wpli,alpha,parietal,frontal,0.007939023897051811
wpli,alpha,parietal,frontal_central,0.013724952936172485
wpli,alpha,parietal,central,0.006973019801080227
wpli,alpha,parietal,parietal,-0.005675979889929295
wpli,alpha,parietal,occipital,0.016968531534075737
wpli,alpha,parietal,temporal,0.018231060355901718
wpli,alpha,occipital,frontal,0.013513480313122272
wpli,alpha,occipital,frontal_central,0.002124875783920288
wpli,alpha,occipital,central,0.001760955317877233
wpli,alpha,occipital,parietal,0.016968531534075737
wpli,alpha,occipital,occipital,-0.012417205609381199
wpli,alpha,occipital,temporal,0.007431711535900831
wpli,alpha,temporal,frontal,-0.0004289490752853453
wpli,alpha,temporal,frontal_central,0.009815326891839504
wpli,alpha,temporal,central,-0.0061996025033295155
wpli,alpha,temporal,parietal,0.018231060355901718
wpli,alpha,temporal,occipital,0.007431711535900831
wpli,alpha,temporal,temporal,0.0034386601764708757
wpli,beta,frontal,frontal,0.0004227842728141695
wpli,beta,frontal,frontal_central,0.0013963027158752084
wpli,beta,frontal,central,0.0012748922454193234
wpli,beta,frontal,parietal,0.0009483397006988525
wpli,beta,frontal,occipital,-0.00027189511456526816
wpli,beta,frontal,temporal,-0.005548340734094381
wpli,beta,frontal_central,frontal,0.0013963027158752084
wpli,beta,frontal_central,frontal_central,0.009871597401797771
wpli,beta,frontal_central,central,0.0016294419765472412
wpli,beta,frontal_central,parietal,0.0018290664302185178
wpli,beta,frontal_central,occipital,0.004694896284490824
wpli,beta,frontal_central,temporal,-1.4432838497668854e-06
wpli,beta,central,frontal,0.0012748922454193234
wpli,beta,central,frontal_central,0.0016294419765472412
wpli,beta,central,central,0.0032791409175843
wpli,beta,central,parietal,0.0009774650679901242
wpli,beta,central,occipital,0.004527956247329712
wpli,beta,central,temporal,-0.004014070611447096
wpli,beta,parietal,frontal,0.0009483397006988525
wpli,beta,parietal,frontal_central,0.0018290664302185178
wpli,beta,parietal,central,0.0009774650679901242
wpli,beta,parietal,parietal,-0.006806203164160252
wpli,beta,parietal,occipital,0.009092275984585285
wpli,beta,parietal,temporal,0.012585840187966824
wpli,beta,occipital,frontal,-0.00027189511456526816
wpli,beta,occipital,frontal_central,0.004694896284490824
wpli,beta,occipital,central,0.004527956247329712
wpli,beta,occipital,parietal,0.009092275984585285
wpli,beta,occipital,occipital,0.01094136480242014
wpli,beta,occipital,temporal,0.011930261738598347
wpli,beta,temporal,frontal,-0.005548340734094381
wpli,beta,temporal,frontal_central,-1.4432838497668854e-06
wpli,beta,temporal,central,-0.004014070611447096
wpli,beta,temporal,parietal,0.012585840187966824
wpli,beta,temporal,occipital,0.011930261738598347
wpli,beta,temporal,temporal,-0.00833137147128582
wpli,gamma,frontal,frontal,-0.01106544490903616
wpli,gamma,frontal,frontal_central,-0.0003923944022972137
