metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,-0.02311117947101593
wpli,theta,frontal,frontal_central,-0.01925700157880783
wpli,theta,frontal,central,-0.02392715960741043
wpli,theta,frontal,parietal,-0.02231515198945999
wpli,theta,frontal,occipital,0.03449515253305435
wpli,theta,frontal,temporal,0.0017920583486557007
wpli,theta,frontal_central,frontal,-0.01925700157880783
wpli,theta,frontal_central,frontal_central,-0.037628136575222015
wpli,theta,frontal_central,central,-0.04959683492779732
wpli,theta,frontal_central,parietal,0.012696675956249237
wpli,theta,frontal_central,occipital,0.02115294337272644
wpli,theta,frontal_central,temporal,-0.005826868116855621
wpli,theta,central,frontal,-0.02392715960741043
wpli,theta,central,frontal_central,-0.04959683492779732
wpli,theta,central,central,-0.051275432109832764
wpli,theta,central,parietal,0.013245493173599243
wpli,theta,central,occipital,-0.020336173474788666
wpli,theta,central,temporal,0.019768178462982178
wpli,theta,parietal,frontal,-0.02231515198945999
wpli,theta,parietal,frontal_central,0.012696675956249237
wpli,theta,parietal,central,0.013245493173599243
wpli,theta,parietal,parietal,-0.04212820529937744
wpli,theta,parietal,occipital,0.01747901737689972
wpli,theta,parietal,temporal,-0.013137400150299072
wpli,theta,occipital,frontal,0.03449515253305435
wpli,theta,occipital,frontal_central,0.02115294337272644
wpli,theta,occipital,central,-0.020336173474788666
wpli,theta,occipital,parietal,0.01747901737689972
wpli,theta,occipital,occipital,-0.036599982529878616
wpli,theta,occipital,temporal,0.02991131693124771
wpli,theta,temporal,frontal,0.0017920583486557007
wpli,theta,temporal,frontal_central,-0.005826868116855621
wpli,theta,temporal,central,0.019768178462982178
wpli,theta,temporal,parietal,-0.013137400150299072
wpli,theta,temporal,occipital,0.02991131693124771
wpli,theta,temporal,temporal,0.049394600093364716
wpli,alpha,frontal,frontal,0.0062423571944236755
wpli,alpha,frontal,frontal_central,-0.007432863116264343
wpli,alpha,frontal,central,-0.014493167400360107
wpli,alpha,frontal,parietal,0.00613904744386673
wpli,alpha,frontal,occipital,0.009569123387336731
wpli,alpha,frontal,temporal,0.004474475979804993
wpli,alpha,frontal_central,frontal,-0.007432863116264343
wpli,alpha,frontal_central,frontal_central,-0.030895724892616272
wpli,alpha,frontal_central,central,-0.04188118875026703
wpli,alpha,frontal_central,parietal,-0.014927774667739868
wpli,alpha,frontal_central,occipital,-0.008442655205726624
wpli,alpha,frontal_central,temporal,0.005706906318664551
wpli,alpha,central,frontal,-0.014493167400360107
wpli,alpha,central,frontal_central,-0.04188118875026703
wpli,alpha,central,central,-0.05851206183433533
