metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,0.00828892644494772
wpli,theta,frontal,frontal_central,0.028653264045715332
wpli,theta,frontal,central,-0.006904048845171928
wpli,theta,frontal,parietal,0.018716948106884956
wpli,theta,frontal,occipital,0.029614124447107315
wpli,theta,frontal,temporal,0.021928122267127037
wpli,theta,frontal_central,frontal,0.028653264045715332
wpli,theta,frontal_central,frontal_central,0.03903985768556595
wpli,theta,frontal_central,central,0.0003303190169390291
wpli,theta,frontal_central,parietal,0.03880845755338669
wpli,theta,frontal_central,occipital,0.03477581962943077
wpli,theta,frontal_central,temporal,0.0169234499335289
wpli,theta,central,frontal,-0.006904048845171928
wpli,theta,central,frontal_central,0.0003303190169390291
wpli,theta,central,central,-0.06240670382976532
wpli,theta,central,parietal,0.012891236692667007
wpli,theta,central,occipital,0.0021284122485667467
wpli,theta,central,temporal,0.0034029418602585793
wpli,theta,parietal,frontal,0.018716948106884956
wpli,theta,parietal,frontal_central,0.03880845755338669
wpli,theta,parietal,central,0.012891236692667007
wpli,theta,parietal,parietal,0.03872023522853851
wpli,theta,parietal,occipital,0.01393146999180317
wpli,theta,parietal,temporal,0.018169764429330826
wpli,theta,occipital,frontal,0.029614124447107315
wpli,theta,occipital,frontal_central,0.03477581962943077
wpli,theta,occipital,central,0.0021284122485667467
wpli,theta,occipital,parietal,0.01393146999180317
wpli,theta,occipital,occipital,0.02653670497238636
wpli,theta,occipital,temporal,0.01657984033226967
wpli,theta,temporal,frontal,0.021928122267127037
wpli,theta,temporal,frontal_central,0.0169234499335289
wpli,theta,temporal,central,0.0034029418602585793
wpli,theta,temporal,parietal,0.018169764429330826
wpli,theta,temporal,occipital,0.01657984033226967
wpli,theta,temporal,temporal,0.036439888179302216
wpli,alpha,frontal,frontal,0.02433263324201107
wpli,alpha,frontal,frontal_central,0.02109452150762081
wpli,alpha,frontal,central,0.0035463240928947926
wpli,alpha,frontal,parietal,0.008303914219141006
wpli,alpha,frontal,occipital,0.033844247460365295
wpli,alpha,frontal,temporal,0.0248714592307806
wpli,alpha,frontal_central,frontal,0.02109452150762081
wpli,alpha,frontal_central,frontal_central,0.014429833739995956
wpli,alpha,frontal_central,central,0.004100289661437273
wpli,alpha,frontal_central,parietal,0.021117117255926132
wpli,alpha,frontal_central,occipital,0.007295340299606323
wpli,alpha,frontal_central,temporal,0.02737082727253437
wpli,alpha,central,frontal,0.0035463240928947926
wpli,alpha,central,frontal_central,0.004100289661437273
wpli,alpha,central,central,-0.008841057308018208
wpli,alpha,central,parietal,0.017989208921790123
wpli,alpha,central,occipital,-0.00046698914957232773
wpli,alpha,central,temporal,0.01428428664803505
wpli,alpha,parietal,frontal,0.008303914219141006
wpli,alpha,parietal,frontal_central,0.021117117255926132
wpli,alpha,parietal,central,0.017989208921790123
wpli,alpha,parietal,parietal,0.011635703966021538
wpli,alpha,parietal,occipital,0.014819609001278877
wpli,alpha,parietal,temporal,0.020108379423618317
wpli,alpha,occipital,frontal,0.033844247460365295
wpli,alpha,occipital,frontal_central,0.007295340299606323
wpli,alpha,occipital,central,-0.00046698914957232773
wpli,alpha,occipital,parietal,0.014819609001278877
wpli,alpha,occipital,occipital,0.029091550037264824
wpli,alpha,occipital,temporal,0.01664724200963974
wpli,alpha,temporal,frontal,0.0248714592307806
wpli,alpha,temporal,frontal_central,0.02737082727253437
wpli,alpha,temporal,central,0.01428428664803505
wpli,alpha,temporal,parietal,0.020108379423618317
wpli,alpha,temporal,occipital,0.01664724200963974
wpli,alpha,temporal,temporal,0.02253120392560959
wpli,beta,frontal,frontal,0.013271559961140156
wpli,beta,frontal,frontal_central,0.009221766144037247
wpli,beta,frontal,central,-0.003663791576400399
wpli,beta,frontal,parietal,-0.005333804525434971
wpli,beta,frontal,occipital,0.004771126434206963
wpli,beta,frontal,temporal,0.00939530786126852
wpli,beta,frontal_central,frontal,0.009221766144037247
