metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,0.01576418988406658
wpli,theta,frontal,frontal_central,0.004835030995309353
wpli,theta,frontal,central,0.0022753009106963873
wpli,theta,frontal,parietal,0.013980126939713955
wpli,theta,frontal,occipital,0.004613708239048719
wpli,theta,frontal,temporal,0.029574135318398476
wpli,theta,frontal_central,frontal,0.004835030995309353
wpli,theta,frontal_central,frontal_central,-0.010921974666416645
wpli,theta,frontal_central,central,-0.004002941306680441
wpli,theta,frontal_central,parietal,0.015716569498181343
wpli,theta,frontal_central,occipital,-0.01544194109737873
wpli,theta,frontal_central,temporal,0.02303110621869564
wpli,theta,central,frontal,0.0022753009106963873
wpli,theta,central,frontal_central,-0.004002941306680441
wpli,theta,central,central,0.049269285053014755
wpli,theta,central,parietal,0.010097465477883816
wpli,theta,central,occipital,0.008486474864184856
wpli,theta,central,temporal,0.02831052802503109
wpli,theta,parietal,frontal,0.013980126939713955
wpli,theta,parietal,frontal_central,0.015716569498181343
wpli,theta,parietal,central,0.010097465477883816
wpli,theta,parietal,parietal,0.039754342287778854
wpli,theta,parietal,occipital,-0.008470405824482441
wpli,theta,parietal,temporal,0.03988223895430565
wpli,theta,occipital,frontal,0.004613708239048719
wpli,theta,occipital,frontal_central,-0.01544194109737873
wpli,theta,occipital,central,0.008486474864184856
wpli,theta,occipital,parietal,-0.008470405824482441
wpli,theta,occipital,occipital,0.0199165977537632
wpli,theta,occipital,temporal,-0.0010115206241607666
wpli,theta,temporal,frontal,0.029574135318398476
wpli,theta,temporal,frontal_central,0.02303110621869564
wpli,theta,temporal,central,0.02831052802503109
wpli,theta,temporal,parietal,0.03988223895430565
wpli,theta,temporal,occipital,-0.0010115206241607666
wpli,theta,temporal,temporal,0.05943504720926285
wpli,alpha,frontal,frontal,0.002086924621835351
wpli,alpha,frontal,frontal_central,0.006104311905801296
wpli,alpha,frontal,central,-0.00932223442941904
wpli,alpha,frontal,parietal,0.005479421000927687
wpli,alpha,frontal,occipital,-0.007841808721423149
wpli,alpha,frontal,temporal,0.010188843123614788
wpli,alpha,frontal_central,frontal,0.006104311905801296
wpli,alpha,frontal_central,frontal_central,-0.01572905294597149
wpli,alpha,frontal_central,central,-0.006458946503698826
wpli,alpha,frontal_central,parietal,-0.006099764723330736
wpli,alpha,frontal_central,occipital,-0.01861523650586605
wpli,alpha,frontal_central,temporal,0.009704257361590862
wpli,alpha,central,frontal,-0.00932223442941904
wpli,alpha,central,frontal_central,-0.006458946503698826
wpli,alpha,central,central,-0.0010266005992889404
wpli,alpha,central,parietal,-0.014940159395337105
wpli,alpha,central,occipital,-0.018300464376807213
wpli,alpha,central,temporal,-0.002600550651550293
wpli,alpha,parietal,frontal,0.005479421000927687
wpli,alpha,parietal,frontal_central,-0.006099764723330736
wpli,alpha,parietal,central,-0.014940159395337105
wpli,alpha,parietal,parietal,0.008083905093371868
wpli,alpha,parietal,occipital,-0.008286616764962673
wpli,alpha,parietal,temporal,0.014008240774273872
wpli,alpha,occipital,frontal,-0.007841808721423149
wpli,alpha,occipital,frontal_central,-0.01861523650586605
wpli,alpha,occipital,central,-0.018300464376807213
wpli,alpha,occipital,parietal,-0.008286616764962673
wpli,alpha,occipital,occipital,0.017103420570492744
wpli,alpha,occipital,temporal,-0.008818323723971844
wpli,alpha,temporal,frontal,0.010188843123614788
wpli,alpha,temporal,frontal_central,0.009704257361590862
wpli,alpha,temporal,central,-0.002600550651550293
wpli,alpha,temporal,parietal,0.014008240774273872
wpli,alpha,temporal,occipital,-0.008818323723971844
wpli,alpha,temporal,temporal,0.026039021089673042
wpli,beta,frontal,frontal,-0.0030416164081543684
wpli,beta,frontal,frontal_central,-0.0029348391108214855
wpli,beta,frontal,central,-0.008121715858578682
wpli,beta,frontal,parietal,0.002815940650179982
wpli,beta,frontal,occipital,-0.006657838821411133
wpli,beta,frontal,temporal,-0.0017672990215942264
wpli,beta,frontal_central,frontal,-0.0029348391108214855
wpli,beta,frontal_central,frontal_central,0.003347652265802026
wpli,beta,frontal_central,central,-0.0044628637842834
wpli,beta,frontal_central,parietal,-0.011768992058932781
wpli,beta,frontal_central,occipital,-0.005512663163244724
wpli,beta,frontal_central,temporal,0.00043641243246383965
