metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,0.01597725972533226
wpli,theta,frontal,frontal_central,0.011279616504907608
wpli,theta,frontal,central,0.012464324943721294
wpli,theta,frontal,parietal,0.021548625081777573
wpli,theta,frontal,occipital,0.015876300632953644
wpli,theta,frontal,temporal,0.015532874502241611
wpli,theta,frontal_central,frontal,0.011279616504907608
wpli,theta,frontal_central,frontal_central,0.015619290992617607
wpli,theta,frontal_central,central,0.016721943393349648
wpli,theta,frontal_central,parietal,0.017693238332867622
wpli,theta,frontal_central,occipital,0.019341876730322838
wpli,theta,frontal_central,temporal,0.015361471101641655
wpli,theta,central,frontal,0.012464324943721294
wpli,theta,central,frontal_central,0.016721943393349648
wpli,theta,central,central,0.012062483467161655
wpli,theta,central,parietal,0.022866152226924896
wpli,theta,central,occipital,0.010925938375294209
wpli,theta,central,temporal,0.004324247594922781
wpli,theta,parietal,frontal,0.021548625081777573
wpli,theta,parietal,frontal_central,0.017693238332867622
wpli,theta,parietal,central,0.022866152226924896
wpli,theta,parietal,parietal,-0.0018753674812614918
wpli,theta,parietal,occipital,0.013531548902392387
wpli,theta,parietal,temporal,0.020941201597452164
wpli,theta,occipital,frontal,0.015876300632953644
wpli,theta,occipital,frontal_central,0.019341876730322838
wpli,theta,occipital,central,0.010925938375294209
wpli,theta,occipital,parietal,0.013531548902392387
wpli,theta,occipital,occipital,-0.016806701198220253
wpli,theta,occipital,temporal,0.016652239486575127
wpli,theta,temporal,frontal,0.015532874502241611
wpli,theta,temporal,frontal_central,0.015361471101641655
wpli,theta,temporal,central,0.004324247594922781
wpli,theta,temporal,parietal,0.020941201597452164
wpli,theta,temporal,occipital,0.016652239486575127
wpli,theta,temporal,temporal,0.01947144605219364
wpli,alpha,frontal,frontal,0.010237442329525948
wpli,alpha,frontal,frontal_central,0.004149748012423515
wpli,alpha,frontal,central,0.0063651567324995995
wpli,alpha,frontal,parietal,0.006481683813035488
wpli,alpha,frontal,occipital,0.008719186298549175
wpli,alpha,frontal,temporal,0.00430654501542449
wpli,alpha,frontal_central,frontal,0.004149748012423515
wpli,alpha,frontal_central,frontal_central,0.0019407703075557947
wpli,alpha,frontal_central,central,0.006230526603758335
wpli,alpha,frontal_central,parietal,0.006221959833055735
wpli,alpha,frontal_central,occipital,0.00021845102310180664
wpli,alpha,frontal_central,temporal,0.005356348119676113
wpli,alpha,central,frontal,0.0063651567324995995
wpli,alpha,central,frontal_central,0.006230526603758335
wpli,alpha,central,central,-0.0018176138401031494
wpli,alpha,central,parietal,0.009443802759051323
wpli,alpha,central,occipital,0.001955956220626831
wpli,alpha,central,temporal,-0.004981776233762503
wpli,alpha,parietal,frontal,0.006481683813035488
wpli,alpha,parietal,frontal_central,0.006221959833055735
wpli,alpha,parietal,central,0.009443802759051323
wpli,alpha,parietal,parietal,-0.014648414216935635
wpli,alpha,parietal,occipital,0.004756593145430088
wpli,alpha,parietal,temporal,0.007659610826522112
wpli,alpha,occipital,frontal,0.008719186298549175
wpli,alpha,occipital,frontal_central,0.00021845102310180664
wpli,alpha,occipital,central,0.001955956220626831
wpli,alpha,occipital,parietal,0.004756593145430088
wpli,alpha,occipital,occipital,-0.010854088701307774
wpli,alpha,occipital,temporal,0.0064346096478402615
wpli,alpha,temporal,frontal,0.00430654501542449
wpli,alpha,temporal,frontal_central,0.005356348119676113
wpli,alpha,temporal,central,-0.004981776233762503
wpli,alpha,temporal,parietal,0.007659610826522112
wpli,alpha,temporal,occipital,0.0064346096478402615
wpli,alpha,temporal,temporal,-0.007065898738801479
wpli,beta,frontal,frontal,0.0014626880874857306
wpli,beta,frontal,frontal_central,-0.003943075891584158
wpli,beta,frontal,central,0.00023667018103878945
wpli,beta,frontal,parietal,-0.0008507867460139096
wpli,beta,frontal,occipital,0.0009169545373879373
wpli,beta,frontal,temporal,-6.659494829364121e-05
wpli,beta,frontal_central,frontal,-0.003943075891584158
wpli,beta,frontal_central,frontal_central,0.0002777510089799762
wpli,beta,frontal_central,central,0.005373997613787651
wpli,beta,frontal_central,parietal,0.0001158250670414418
wpli,beta,frontal_central,occipital,0.00040800042916089296
wpli,beta,frontal_central,temporal,0.0035221013240516186
wpli,beta,central,frontal,0.00023667018103878945
wpli,beta,central,frontal_central,0.005373997613787651
wpli,beta,central,central,-0.007255623582750559
wpli,beta,central,parietal,-0.00018586052465252578
wpli,beta,central,occipital,-0.0030569136142730713
wpli,beta,central,temporal,0.0011535254307091236
wpli,beta,parietal,frontal,-0.0008507867460139096
wpli,beta,parietal,frontal_central,0.0001158250670414418
wpli,beta,parietal,central,-0.00018586052465252578
wpli,beta,parietal,parietal,-0.007523884531110525
wpli,beta,parietal,occipital,0.0015878478297963738
wpli,beta,parietal,temporal,0.0023513701744377613
wpli,beta,occipital,frontal,0.0009169545373879373
wpli,beta,occipital,frontal_central,0.00040800042916089296
wpli,beta,occipital,central,-0.0030569136142730713
wpli,beta,occipital,parietal,0.0015878478297963738
wpli,beta,occipital,occipital,-0.0036020311526954174
wpli,beta,occipital,temporal,0.0053802067413926125
wpli,beta,temporal,frontal,-6.659494829364121e-05
wpli,beta,temporal,frontal_central,0.0035221013240516186
wpli,beta,temporal,central,0.0011535254307091236
wpli,beta,temporal,parietal,0.0023513701744377613
wpli,beta,temporal,occipital,0.0053802067413926125
wpli,beta,temporal,temporal,-0.005944546777755022
wpli,gamma,frontal,frontal,0.002269357442855835
wpli,gamma,frontal,frontal_central,-0.009209530428051949
wpli,gamma,frontal,central,0.002703646896407008
wpli,gamma,frontal,parietal,-0.0009859933052212
wpli,gamma,frontal,occipital,-0.002423458732664585
wpli,gamma,frontal,temporal,0.005480882246047258
wpli,gamma,frontal_central,frontal,-0.009209530428051949
wpli,gamma,frontal_central,frontal_central,-0.004135072231292725
wpli,gamma,frontal_central,central,0.012551645748317242
wpli,gamma,frontal_central,parietal,0.004090375266969204
wpli,gamma,frontal_central,occipital,0.0005295508308336139
wpli,gamma,frontal_central,temporal,0.00918460264801979
wpli,gamma,central,frontal,0.002703646896407008
wpli,gamma,central,frontal_central,0.012551645748317242
wpli,gamma,central,central,-0.011095656082034111
wpli,gamma,central,parietal,0.00042991506052203476
wpli,gamma,central,occipital,-0.005091273225843906
wpli,gamma,central,temporal,0.005395703949034214
wpli,gamma,parietal,frontal,-0.0009859933052212
wpli,gamma,parietal,frontal_central,0.004090375266969204
wpli,gamma,parietal,central,0.00042991506052203476
wpli,gamma,parietal,parietal,0.01077219843864441
wpli,gamma,parietal,occipital,-0.00017953250790014863
wpli,gamma,parietal,temporal,0.007277826312929392
wpli,gamma,occipital,frontal,-0.002423458732664585
wpli,gamma,occipital,frontal_central,0.0005295508308336139
wpli,gamma,occipital,central,-0.005091273225843906
wpli,gamma,occipital,parietal,-0.00017953250790014863
wpli,gamma,occipital,occipital,-0.002063410123810172
wpli,gamma,occipital,temporal,0.00632783118635416
wpli,gamma,temporal,frontal,0.005480882246047258
wpli,gamma,temporal,frontal_central,0.00918460264801979
wpli,gamma,temporal,central,0.005395703949034214
wpli,gamma,temporal,parietal,0.007277826312929392
wpli,gamma,temporal,occipital,0.00632783118635416
wpli,gamma,temporal,temporal,0.004575560335069895
aec,theta,frontal,frontal,0.008312528021633625
aec,theta,frontal,frontal_central,-0.015684179961681366
aec,theta,frontal,central,0.0033178776502609253
aec,theta,frontal,parietal,0.01040510181337595
aec,theta,frontal,occipital,0.014167990535497665
aec,theta,frontal,temporal,0.01911572366952896
aec,theta,frontal_central,frontal,-0.015684179961681366
aec,theta,frontal_central,frontal_central,-0.003932701889425516
aec,theta,frontal_central,central,-0.0015233722515404224
aec,theta,frontal_central,parietal,0.011215904727578163
aec,theta,frontal_central,occipital,0.021494582295417786
aec,theta,frontal_central,temporal,0.022505637258291245
aec,theta,central,frontal,0.0033178776502609253
aec,theta,central,frontal_central,-0.0015233722515404224
aec,theta,central,central,0.04054238274693489
aec,theta,central,parietal,0.025575608015060425
aec,theta,central,occipital,-0.007100858725607395
aec,theta,central,temporal,0.0302397683262825
aec,theta,parietal,frontal,0.01040510181337595
aec,theta,parietal,frontal_central,0.011215904727578163
aec,theta,parietal,central,0.025575608015060425
aec,theta,parietal,parietal,0.019053233787417412
aec,theta,parietal,occipital,0.01784433051943779
aec,theta,parietal,temporal,0.015398229472339153
aec,theta,occipital,frontal,0.014167990535497665
aec,theta,occipital,frontal_central,0.021494582295417786
aec,theta,occipital,central,-0.007100858725607395
aec,theta,occipital,parietal,0.01784433051943779
aec,theta,occipital,occipital,0.043734610080718994
aec,theta,occipital,temporal,-0.01914275623857975
aec,theta,temporal,frontal,0.01911572366952896
aec,theta,temporal,frontal_central,0.022505637258291245
aec,theta,temporal,central,0.0302397683262825
aec,theta,temporal,parietal,0.015398229472339153
aec,theta,temporal,occipital,-0.01914275623857975
aec,theta,temporal,temporal,0.0502801351249218
aec,alpha,frontal,frontal,0.01817890629172325
aec,alpha,frontal,frontal_central,0.015251492150127888
aec,alpha,frontal,central,0.01518290862441063
aec,alpha,frontal,parietal,0.017217479646205902
aec,alpha,frontal,occipital,0.013281645253300667
aec,alpha,frontal,temporal,0.01531499158591032
aec,alpha,frontal_central,frontal,0.015251492150127888
aec,alpha,frontal_central,frontal_central,0.008930794894695282
aec,alpha,frontal_central,central,-0.0011645638151094317
aec,alpha,frontal_central,parietal,0.014393452554941177
aec,alpha,frontal_central,occipital,0.021561764180660248
aec,alpha,frontal_central,temporal,0.029239092022180557
aec,alpha,central,frontal,0.01518290862441063
aec,alpha,central,frontal_central,-0.0011645638151094317
aec,alpha,central,central,0.03979182243347168
aec,alpha,central,parietal,0.0011094941291958094
aec,alpha,central,occipital,-0.026335664093494415
aec,alpha,central,temporal,0.015518857166171074
aec,alpha,parietal,frontal,0.017217479646205902
aec,alpha,parietal,frontal_central,0.014393452554941177
aec,alpha,parietal,central,0.0011094941291958094
aec,alpha,parietal,parietal,0.022795815020799637
aec,alpha,parietal,occipital,0.02394161932170391
aec,alpha,parietal,temporal,0.009707399643957615
aec,alpha,occipital,frontal,0.013281645253300667
aec,alpha,occipital,frontal_central,0.021561764180660248
aec,alpha,occipital,central,-0.026335664093494415
aec,alpha,occipital,parietal,0.02394161932170391
aec,alpha,occipital,occipital,0.016630031168460846
aec,alpha,occipital,temporal,0.00837151799350977
aec,alpha,temporal,frontal,0.01531499158591032
aec,alpha,temporal,frontal_central,0.029239092022180557
aec,alpha,temporal,central,0.015518857166171074
aec,alpha,temporal,parietal,0.009707399643957615
aec,alpha,temporal,occipital,0.00837151799350977
aec,alpha,temporal,temporal,0.021463729441165924
aec,beta,frontal,frontal,0.019282393157482147
aec,beta,frontal,frontal_central,0.0075816866010427475
aec,beta,frontal,central,0.0013976258924230933
aec,beta,frontal,parietal,0.01817142218351364
aec,beta,frontal,occipital,0.033803172409534454
aec,beta,frontal,temporal,0.009473949670791626
aec,beta,frontal_central,frontal,0.0075816866010427475
aec,beta,frontal_central,frontal_central,0.008684497326612473
aec,beta,frontal_central,central,0.0016733118100091815
aec,beta,frontal_central,parietal,0.012696989811956882
aec,beta,frontal_central,occipital,0.023730359971523285
aec,beta,frontal_central,temporal,-0.0014128570910543203
aec,beta,central,frontal,0.0013976258924230933
aec,beta,central,frontal_central,0.0016733118100091815
aec,beta,central,central,0.0011224275222048163
aec,beta,central,parietal,-0.003543025581166148
aec,beta,central,occipital,0.008481566794216633
aec,beta,central,temporal,-0.015055734664201736
aec,beta,parietal,frontal,0.01817142218351364
aec,beta,parietal,frontal_central,0.012696989811956882
aec,beta,parietal,central,-0.003543025581166148
aec,beta,parietal,parietal,-0.0077559808269143105
aec,beta,parietal,occipital,0.008109984919428825
aec,beta,parietal,temporal,-0.007461823523044586
aec,beta,occipital,frontal,0.033803172409534454
aec,beta,occipital,frontal_central,0.023730359971523285
aec,beta,occipital,central,0.008481566794216633
aec,beta,occipital,parietal,0.008109984919428825
aec,beta,occipital,occipital,0.07710230350494385
aec,beta,occipital,temporal,0.003378106513991952
aec,beta,temporal,frontal,0.009473949670791626
aec,beta,temporal,frontal_central,-0.0014128570910543203
aec,beta,temporal,central,-0.015055734664201736
aec,beta,temporal,parietal,-0.007461823523044586
aec,beta,temporal,occipital,0.003378106513991952
aec,beta,temporal,temporal,0.006874105893075466
aec,gamma,frontal,frontal,0.014851649291813374
aec,gamma,frontal,frontal_central,0.007728505413979292
aec,gamma,frontal,central,0.0013460711343213916
aec,gamma,frontal,parietal,0.008041062392294407
aec,gamma,frontal,occipital,0.02315494418144226
aec,gamma,frontal,temporal,-0.0017816080944612622
aec,gamma,frontal_central,frontal,0.007728505413979292
aec,gamma,frontal_central,frontal_central,-0.013014287687838078
aec,gamma,frontal_central,central,-0.006918113213032484
aec,gamma,frontal_central,parietal,0.009492408484220505
aec,gamma,frontal_central,occipital,0.008836260996758938
aec,gamma,frontal_central,temporal,0.010847811587154865
aec,gamma,central,frontal,0.0013460711343213916
aec,gamma,central,frontal_central,-0.006918113213032484
aec,gamma,central,central,-0.03355159983038902
aec,gamma,central,parietal,-0.004940818529576063
aec,gamma,central,occipital,-0.00925514567643404
aec,gamma,central,temporal,0.0019149226136505604
aec,gamma,parietal,frontal,0.008041062392294407
aec,gamma,parietal,frontal_central,0.009492408484220505
aec,gamma,parietal,central,-0.004940818529576063
aec,gamma,parietal,parietal,0.00463921157643199
aec,gamma,parietal,occipital,0.010493136011064053
aec,gamma,parietal,temporal,0.011501621454954147
aec,gamma,occipital,frontal,0.02315494418144226
aec,gamma,occipital,frontal_central,0.008836260996758938
aec,gamma,occipital,central,-0.00925514567643404
aec,gamma,occipital,parietal,0.010493136011064053
aec,gamma,occipital,occipital,0.06132058799266815
aec,gamma,occipital,temporal,0.0016260618576779962
aec,gamma,temporal,frontal,-0.0017816080944612622
aec,gamma,temporal,frontal_central,0.010847811587154865
aec,gamma,temporal,central,0.0019149226136505604
aec,gamma,temporal,parietal,0.011501621454954147
aec,gamma,temporal,occipital,0.0016260618576779962
aec,gamma,temporal,temporal,0.0051683238707482815
