metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,0.009177371859550476
wpli,theta,frontal,frontal_central,0.026699360460042953
wpli,theta,frontal,central,-2.1725893020629883e-05
wpli,theta,frontal,parietal,0.002186831086874008
wpli,theta,frontal,occipital,0.011441648006439209
wpli,theta,frontal,temporal,-0.00963880866765976
wpli,theta,frontal_central,frontal,0.026699360460042953
wpli,theta,frontal_central,frontal_central,0.038324180990457535
wpli,theta,frontal_central,central,0.008656341582536697
wpli,theta,frontal_central,parietal,0.020016472786664963
wpli,theta,frontal_central,occipital,0.02086849883198738
wpli,theta,frontal_central,temporal,0.0033283531665802
wpli,theta,central,frontal,-2.1725893020629883e-05
wpli,theta,central,frontal_central,0.008656341582536697
wpli,theta,central,central,0.0040672458708286285
wpli,theta,central,parietal,0.010701902210712433
wpli,theta,central,occipital,0.008605226874351501
wpli,theta,central,temporal,0.0011411309242248535
wpli,theta,parietal,frontal,0.002186831086874008
wpli,theta,parietal,frontal_central,0.020016472786664963
wpli,theta,parietal,central,0.010701902210712433
wpli,theta,parietal,parietal,-0.013829760253429413
wpli,theta,parietal,occipital,0.009611129760742188
wpli,theta,parietal,temporal,-0.0027526728808879852
wpli,theta,occipital,frontal,0.011441648006439209
wpli,theta,occipital,frontal_central,0.02086849883198738
wpli,theta,occipital,central,0.008605226874351501
wpli,theta,occipital,parietal,0.009611129760742188
wpli,theta,occipital,occipital,-0.028117097914218903
wpli,theta,occipital,temporal,-0.008146267384290695
wpli,theta,temporal,frontal,-0.00963880866765976
wpli,theta,temporal,frontal_central,0.0033283531665802
wpli,theta,temporal,central,0.0011411309242248535
wpli,theta,temporal,parietal,-0.0027526728808879852
wpli,theta,temporal,occipital,-0.008146267384290695
wpli,theta,temporal,temporal,0.012504924088716507
wpli,alpha,frontal,frontal,0.011692505329847336
wpli,alpha,frontal,frontal_central,0.014229051768779755
wpli,alpha,frontal,central,-0.001424390822649002
wpli,alpha,frontal,parietal,-0.003833368420600891
wpli,alpha,frontal,occipital,0.013609956949949265
wpli,alpha,frontal,temporal,0.0025872625410556793
wpli,alpha,frontal_central,frontal,0.014229051768779755
wpli,alpha,frontal_central,frontal_central,0.01936793327331543
wpli,alpha,frontal_central,central,0.0065941400825977325
wpli,alpha,frontal_central,parietal,0.009646385908126831
wpli,alpha,frontal_central,occipital,0.0029945969581604004
wpli,alpha,frontal_central,temporal,-0.00023206695914268494
wpli,alpha,central,frontal,-0.001424390822649002
wpli,alpha,central,frontal_central,0.0065941400825977325
wpli,alpha,central,central,0.013099372386932373
wpli,alpha,central,parietal,0.005651596933603287
wpli,alpha,central,occipital,-0.0010482855141162872
wpli,alpha,central,temporal,-0.012034516781568527
wpli,alpha,parietal,frontal,-0.003833368420600891
wpli,alpha,parietal,frontal_central,0.009646385908126831
wpli,alpha,parietal,central,0.005651596933603287
wpli,alpha,parietal,parietal,-0.008843090385198593
wpli,alpha,parietal,occipital,-0.001123618334531784
wpli,alpha,parietal,temporal,0.0033071115612983704
wpli,alpha,occipital,frontal,0.013609956949949265
wpli,alpha,occipital,frontal_central,0.0029945969581604004
wpli,alpha,occipital,central,-0.0010482855141162872
wpli,alpha,occipital,parietal,-0.001123618334531784
wpli,alpha,occipital,occipital,-0.011916633695363998
