metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,0.014628427103161812
wpli,theta,frontal,frontal_central,0.009446061216294765
wpli,theta,frontal,central,-0.0026532476767897606
wpli,theta,frontal,parietal,0.0007512834272347391
wpli,theta,frontal,occipital,0.017054375261068344
wpli,theta,frontal,temporal,0.0034941036719828844
wpli,theta,frontal_central,frontal,0.009446061216294765
wpli,theta,frontal_central,frontal_central,-0.01041556429117918
wpli,theta,frontal_central,central,-0.0009975068969652057
wpli,theta,frontal_central,parietal,-0.005431639030575752
wpli,theta,frontal_central,occipital,0.014116602018475533
wpli,theta,frontal_central,temporal,0.0028129848651587963
wpli,theta,central,frontal,-0.0026532476767897606
wpli,theta,central,frontal_central,-0.0009975068969652057
wpli,theta,central,central,0.009545273147523403
wpli,theta,central,parietal,0.009178876876831055
wpli,theta,central,occipital,0.006920936983078718
wpli,theta,central,temporal,0.009029064327478409
wpli,theta,parietal,frontal,0.0007512834272347391
wpli,theta,parietal,frontal_central,-0.005431639030575752
wpli,theta,parietal,central,0.009178876876831055
wpli,theta,parietal,parietal,-0.01645766757428646
wpli,theta,parietal,occipital,0.0053039491176605225
wpli,theta,parietal,temporal,0.002675559837371111
wpli,theta,occipital,frontal,0.017054375261068344
wpli,theta,occipital,frontal_central,0.014116602018475533
wpli,theta,occipital,central,0.006920936983078718
wpli,theta,occipital,parietal,0.0053039491176605225
wpli,theta,occipital,occipital,-0.021027717739343643
wpli,theta,occipital,temporal,0.018738828599452972
wpli,theta,temporal,frontal,0.0034941036719828844
wpli,theta,temporal,frontal_central,0.0028129848651587963
wpli,theta,temporal,central,0.009029064327478409
wpli,theta,temporal,parietal,0.002675559837371111
wpli,theta,temporal,occipital,0.018738828599452972
wpli,theta,temporal,temporal,0.0070008207112550735
wpli,alpha,frontal,frontal,0.006871882360428572
wpli,alpha,frontal,frontal_central,0.007127079647034407
wpli,alpha,frontal,central,-0.0034442576579749584
wpli,alpha,frontal,parietal,-0.0033113094978034496
wpli,alpha,frontal,occipital,0.0019952389411628246
wpli,alpha,frontal,temporal,-0.006349023897200823
wpli,alpha,frontal_central,frontal,0.007127079647034407
wpli,alpha,frontal_central,frontal_central,-0.0003265241684857756
wpli,alpha,frontal_central,central,0.004694988485425711
wpli,alpha,frontal_central,parietal,-0.0029199784621596336
wpli,alpha,frontal_central,occipital,-0.004990614019334316
wpli,alpha,frontal_central,temporal,-0.0002684295177459717
wpli,alpha,central,frontal,-0.0034442576579749584
wpli,alpha,central,frontal_central,0.004694988485425711
wpli,alpha,central,central,0.0028577547054737806
wpli,alpha,central,parietal,-0.0005607406492345035
wpli,alpha,central,occipital,-0.009409133344888687
wpli,alpha,central,temporal,-0.001677433610893786
wpli,alpha,parietal,frontal,-0.0033113094978034496
wpli,alpha,parietal,frontal_central,-0.0029199784621596336
wpli,alpha,parietal,central,-0.0005607406492345035
wpli,alpha,parietal,parietal,-0.013989816419780254
wpli,alpha,parietal,occipital,-0.0008560584392398596
wpli,alpha,parietal,temporal,-0.0061173043213784695
wpli,alpha,occipital,frontal,0.0019952389411628246
wpli,alpha,occipital,frontal_central,-0.004990614019334316
wpli,alpha,occipital,central,-0.009409133344888687
wpli,alpha,occipital,parietal,-0.0008560584392398596
wpli,alpha,occipital,occipital,-0.011181380599737167
wpli,alpha,occipital,temporal,-0.000814841827377677
wpli,alpha,temporal,frontal,-0.006349023897200823
wpli,alpha,temporal,frontal_central,-0.0002684295177459717
wpli,alpha,temporal,central,-0.001677433610893786
wpli,alpha,temporal,parietal,-0.0061173043213784695
wpli,alpha,temporal,occipital,-0.000814841827377677
wpli,alpha,temporal,temporal,-0.006640550214797258
wpli,beta,frontal,frontal,0.0023624864406883717
wpli,beta,frontal,frontal_central,0.009849107824265957
wpli,beta,frontal,central,-0.0029898120556026697
wpli,beta,frontal,parietal,-0.006599495653063059
wpli,beta,frontal,occipital,-0.0038887758273631334
wpli,beta,frontal,temporal,-0.004843632224947214
wpli,beta,frontal_central,frontal,0.009849107824265957
wpli,beta,frontal_central,frontal_central,0.007583492435514927
wpli,beta,frontal_central,central,0.0051949420012533665
wpli,beta,frontal_central,parietal,-0.0018748475704342127
wpli,beta,frontal_central,occipital,-0.005888591054826975
wpli,beta,frontal_central,temporal,0.0036876467056572437
wpli,beta,central,frontal,-0.0029898120556026697
wpli,beta,central,frontal_central,0.0051949420012533665
wpli,beta,central,central,0.0031731559429317713
wpli,beta,central,parietal,-0.002776205539703369
wpli,beta,central,occipital,-0.011263330467045307
