metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,-0.0025193095207214355
wpli,theta,frontal,frontal_central,-0.0018864274024963379
wpli,theta,frontal,central,-0.025561422109603882
wpli,theta,frontal,parietal,-0.019484758377075195
wpli,theta,frontal,occipital,-0.06567347049713135
wpli,theta,frontal,temporal,0.006751924753189087
wpli,theta,frontal_central,frontal,-0.0018864274024963379
wpli,theta,frontal_central,frontal_central,0.025161057710647583
wpli,theta,frontal_central,central,-0.09968836605548859
wpli,theta,frontal_central,parietal,0.00622972846031189
wpli,theta,frontal_central,occipital,0.001317828893661499
wpli,theta,frontal_central,temporal,-0.009428203105926514
wpli,theta,central,frontal,-0.025561422109603882
wpli,theta,central,frontal_central,-0.09968836605548859
wpli,theta,central,central,0.008115112781524658
wpli,theta,central,parietal,0.012292593717575073
wpli,theta,central,occipital,-0.015775591135025024
wpli,theta,central,temporal,-0.0010666251182556152
wpli,theta,parietal,frontal,-0.019484758377075195
wpli,theta,parietal,frontal_central,0.00622972846031189
wpli,theta,parietal,central,0.012292593717575073
wpli,theta,parietal,parietal,0.025762170553207397
wpli,theta,parietal,occipital,-0.04238197207450867
wpli,theta,parietal,temporal,0.021480560302734375
wpli,theta,occipital,frontal,-0.06567347049713135
wpli,theta,occipital,frontal_central,0.001317828893661499
wpli,theta,occipital,central,-0.015775591135025024
wpli,theta,occipital,parietal,-0.04238197207450867
wpli,theta,occipital,occipital,-0.07795608043670654
wpli,theta,occipital,temporal,0.01219719648361206
wpli,theta,temporal,frontal,0.006751924753189087
wpli,theta,temporal,frontal_central,-0.009428203105926514
wpli,theta,temporal,central,-0.0010666251182556152
wpli,theta,temporal,parietal,0.021480560302734375
wpli,theta,temporal,occipital,0.01219719648361206
wpli,theta,temporal,temporal,-0.06411030888557434
wpli,alpha,frontal,frontal,0.02585849165916443
wpli,alpha,frontal,frontal_central,0.018569886684417725
wpli,alpha,frontal,central,0.019160747528076172
wpli,alpha,frontal,parietal,-0.014843493700027466
wpli,alpha,frontal,occipital,0.041151583194732666
wpli,alpha,frontal,temporal,-0.019672751426696777
wpli,alpha,frontal_central,frontal,0.018569886684417725
wpli,alpha,frontal_central,frontal_central,0.1029076874256134
wpli,alpha,frontal_central,central,0.011179566383361816
wpli,alpha,frontal_central,parietal,-0.012947678565979004
wpli,alpha,frontal_central,occipital,0.026370108127593994
wpli,alpha,frontal_central,temporal,-0.026023834943771362
wpli,alpha,central,frontal,0.019160747528076172
wpli,alpha,central,frontal_central,0.011179566383361816
wpli,alpha,central,central,0.020039796829223633
wpli,alpha,central,parietal,0.0019071102142333984
wpli,alpha,central,occipital,0.046698570251464844
wpli,alpha,central,temporal,-0.011471539735794067
wpli,alpha,parietal,frontal,-0.014843493700027466
wpli,alpha,parietal,frontal_central,-0.012947678565979004
wpli,alpha,parietal,central,0.0019071102142333984
wpli,alpha,parietal,parietal,-0.041351109743118286
wpli,alpha,parietal,occipital,-0.01904958486557007
wpli,alpha,parietal,temporal,-0.005860388278961182
wpli,alpha,occipital,frontal,0.041151583194732666
wpli,alpha,occipital,frontal_central,0.026370108127593994
wpli,alpha,occipital,central,0.046698570251464844
wpli,alpha,occipital,parietal,-0.01904958486557007
wpli,alpha,occipital,occipital,-0.007970303297042847
wpli,alpha,occipital,temporal,-0.0111674964427948
wpli,alpha,temporal,frontal,-0.019672751426696777
wpli,alpha,temporal,frontal_central,-0.026023834943771362
wpli,alpha,temporal,central,-0.011471539735794067
wpli,alpha,temporal,parietal,-0.005860388278961182
wpli,alpha,temporal,occipital,-0.0111674964427948
wpli,alpha,temporal,temporal,-0.05059784650802612
wpli,beta,frontal,frontal,0.020266622304916382
wpli,beta,frontal,frontal_central,0.010256946086883545
wpli,beta,frontal,central,0.031047433614730835
wpli,beta,frontal,parietal,0.0067675113677978516
wpli,beta,frontal,occipital,0.059829115867614746
wpli,beta,frontal,temporal,-0.0211029052734375
wpli,beta,frontal_central,frontal,0.010256946086883545
wpli,beta,frontal_central,frontal_central,0.03028830885887146
wpli,beta,frontal_central,central,0.047130972146987915
wpli,beta,frontal_central,parietal,-0.02421364188194275
wpli,beta,frontal_central,occipital,0.011727601289749146
wpli,beta,frontal_central,temporal,-0.017870038747787476
wpli,beta,central,frontal,0.031047433614730835
wpli,beta,central,frontal_central,0.047130972146987915
wpli,beta,central,central,0.08804640173912048
wpli,beta,central,parietal,0.010769307613372803
wpli,beta,central,occipital,0.07070130109786987
wpli,beta,central,temporal,-0.01982325315475464
wpli,beta,parietal,frontal,0.0067675113677978516
wpli,beta,parietal,frontal_central,-0.02421364188194275
wpli,beta,parietal,central,0.010769307613372803
wpli,beta,parietal,parietal,-0.019281327724456787
wpli,beta,parietal,occipital,-0.01670786738395691
wpli,beta,parietal,temporal,-0.0356002151966095
wpli,beta,occipital,frontal,0.059829115867614746
wpli,beta,occipital,frontal_central,0.011727601289749146
wpli,beta,occipital,central,0.07070130109786987
wpli,beta,occipital,parietal,-0.01670786738395691
wpli,beta,occipital,occipital,-0.03646135330200195
wpli,beta,occipital,temporal,-0.01770108938217163
wpli,beta,temporal,frontal,-0.0211029052734375
wpli,beta,temporal,frontal_central,-0.017870038747787476
wpli,beta,temporal,central,-0.01982325315475464
wpli,beta,temporal,parietal,-0.0356002151966095
wpli,beta,temporal,occipital,-0.01770108938217163
wpli,beta,temporal,temporal,-0.03727179765701294
wpli,gamma,frontal,frontal,-0.030458152294158936
wpli,gamma,frontal,frontal_central,-0.014925956726074219
wpli,gamma,frontal,central,0.0029236674308776855
wpli,gamma,frontal,parietal,-0.020313382148742676
wpli,gamma,frontal,occipital,0.0017832517623901367
wpli,gamma,frontal,temporal,-0.02883896231651306
wpli,gamma,frontal_central,frontal,-0.014925956726074219
wpli,gamma,frontal_central,frontal_central,-0.04996687173843384
wpli,gamma,frontal_central,central,0.057878077030181885
wpli,gamma,frontal_central,parietal,-0.047426700592041016
wpli,gamma,frontal_central,occipital,-0.007409155368804932
wpli,gamma,frontal_central,temporal,-0.013889849185943604
wpli,gamma,central,frontal,0.0029236674308776855
wpli,gamma,central,frontal_central,0.057878077030181885
wpli,gamma,central,central,0.08963069319725037
wpli,gamma,central,parietal,0.007415741682052612
wpli,gamma,central,occipital,0.04564961791038513
wpli,gamma,central,temporal,-0.06769973039627075
wpli,gamma,parietal,frontal,-0.020313382148742676
wpli,gamma,parietal,frontal_central,-0.047426700592041016
wpli,gamma,parietal,central,0.007415741682052612
wpli,gamma,parietal,parietal,0.007482945919036865
wpli,gamma,parietal,occipital,-0.05794450640678406
wpli,gamma,parietal,temporal,-0.06966227293014526
wpli,gamma,occipital,frontal,0.0017832517623901367
wpli,gamma,occipital,frontal_central,-0.007409155368804932
wpli,gamma,occipital,central,0.04564961791038513
wpli,gamma,occipital,parietal,-0.05794450640678406
wpli,gamma,occipital,occipital,-0.11731384694576263
wpli,gamma,occipital,temporal,-0.025688648223876953
wpli,gamma,temporal,frontal,-0.02883896231651306
wpli,gamma,temporal,frontal_central,-0.013889849185943604
wpli,gamma,temporal,central,-0.06769973039627075
wpli,gamma,temporal,parietal,-0.06966227293014526
wpli,gamma,temporal,occipital,-0.025688648223876953
wpli,gamma,temporal,temporal,-0.04602828621864319
aec,theta,frontal,frontal,0.08850967884063721
aec,theta,frontal,frontal_central,0.18593081831932068
aec,theta,frontal,central,0.10869251191616058
aec,theta,frontal,parietal,0.15720155835151672
aec,theta,frontal,occipital,0.22161489725112915
aec,theta,frontal,temporal,0.06592382490634918
aec,theta,frontal_central,frontal,0.18593081831932068
aec,theta,frontal_central,frontal_central,0.17539705336093903
aec,theta,frontal_central,central,0.08691652119159698
aec,theta,frontal_central,parietal,0.16975799202919006
aec,theta,frontal_central,occipital,0.27665483951568604
aec,theta,frontal_central,temporal,0.05093906819820404
aec,theta,central,frontal,0.10869251191616058
aec,theta,central,frontal_central,0.08691652119159698
aec,theta,central,central,-0.055879101157188416
aec,theta,central,parietal,0.08512920141220093
aec,theta,central,occipital,0.10589295625686646
aec,theta,central,temporal,0.0615866482257843
aec,theta,parietal,frontal,0.15720155835151672
aec,theta,parietal,frontal_central,0.16975799202919006
aec,theta,parietal,central,0.08512920141220093
aec,theta,parietal,parietal,0.04822187125682831
aec,theta,parietal,occipital,0.1673170030117035
aec,theta,parietal,temporal,0.019519567489624023
aec,theta,occipital,frontal,0.22161489725112915
aec,theta,occipital,frontal_central,0.27665483951568604
aec,theta,occipital,central,0.10589295625686646
aec,theta,occipital,parietal,0.1673170030117035
aec,theta,occipital,occipital,0.06605362892150879
aec,theta,occipital,temporal,0.12484008073806763
aec,theta,temporal,frontal,0.06592382490634918
aec,theta,temporal,frontal_central,0.05093906819820404
aec,theta,temporal,central,0.0615866482257843
aec,theta,temporal,parietal,0.019519567489624023
aec,theta,temporal,occipital,0.12484008073806763
aec,theta,temporal,temporal,0.04939725995063782
aec,alpha,frontal,frontal,-0.07133211195468903
