metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,0.017113715410232544
wpli,theta,frontal,frontal_central,0.010227680206298828
wpli,theta,frontal,central,0.021996313706040382
wpli,theta,frontal,parietal,0.039293430745601654
wpli,theta,frontal,occipital,0.012662219814956188
wpli,theta,frontal,temporal,0.027999430894851685
wpli,theta,frontal_central,frontal,0.010227680206298828
wpli,theta,frontal_central,frontal_central,-0.007291859481483698
wpli,theta,frontal_central,central,0.0038517266511917114
wpli,theta,frontal_central,parietal,0.019676506519317627
wpli,theta,frontal_central,occipital,-0.01467781700193882
wpli,theta,frontal_central,temporal,0.01719379425048828
wpli,theta,central,frontal,0.021996313706040382
wpli,theta,central,frontal_central,0.0038517266511917114
wpli,theta,central,central,0.00038267075433395803
wpli,theta,central,parietal,0.010680034756660461
wpli,theta,central,occipital,0.005536371376365423
wpli,theta,central,temporal,0.009142977185547352
wpli,theta,parietal,frontal,0.039293430745601654
wpli,theta,parietal,frontal_central,0.019676506519317627
wpli,theta,parietal,central,0.010680034756660461
wpli,theta,parietal,parietal,0.024201905354857445
wpli,theta,parietal,occipital,0.022668611258268356
wpli,theta,parietal,temporal,0.006521397735923529
wpli,theta,occipital,frontal,0.012662219814956188
wpli,theta,occipital,frontal_central,-0.01467781700193882
wpli,theta,occipital,central,0.005536371376365423
wpli,theta,occipital,parietal,0.022668611258268356
wpli,theta,occipital,occipital,0.06310425698757172
wpli,theta,occipital,temporal,0.04303384944796562
wpli,theta,temporal,frontal,0.027999430894851685
wpli,theta,temporal,frontal_central,0.01719379425048828
wpli,theta,temporal,central,0.009142977185547352
wpli,theta,temporal,parietal,0.006521397735923529
wpli,theta,temporal,occipital,0.04303384944796562
wpli,theta,temporal,temporal,-0.01854991540312767
wpli,alpha,frontal,frontal,0.0150211276486516
wpli,alpha,frontal,frontal_central,0.02103332243859768
wpli,alpha,frontal,central,0.015097039751708508
wpli,alpha,frontal,parietal,0.024311577901244164
wpli,alpha,frontal,occipital,0.027878623455762863
wpli,alpha,frontal,temporal,0.01329805888235569
wpli,alpha,frontal_central,frontal,0.02103332243859768
wpli,alpha,frontal_central,frontal_central,0.019874650985002518
wpli,alpha,frontal_central,central,0.01902431808412075
wpli,alpha,frontal_central,parietal,0.01752610132098198
wpli,alpha,frontal_central,occipital,-0.0033880651462823153
wpli,alpha,frontal_central,temporal,0.010503405705094337
wpli,alpha,central,frontal,0.015097039751708508
wpli,alpha,central,frontal_central,0.01902431808412075
wpli,alpha,central,central,0.013127553276717663
wpli,alpha,central,parietal,0.016564715653657913
wpli,alpha,central,occipital,-0.009462994523346424
wpli,alpha,central,temporal,-0.005234712269157171
wpli,alpha,parietal,frontal,0.024311577901244164
wpli,alpha,parietal,frontal_central,0.01752610132098198
wpli,alpha,parietal,central,0.016564715653657913
wpli,alpha,parietal,parietal,-0.004897481296211481
wpli,alpha,parietal,occipital,-0.008403295651078224
wpli,alpha,parietal,temporal,0.005697852466255426
wpli,alpha,occipital,frontal,0.027878623455762863
wpli,alpha,occipital,frontal_central,-0.0033880651462823153
wpli,alpha,occipital,central,-0.009462994523346424
wpli,alpha,occipital,parietal,-0.008403295651078224
wpli,alpha,occipital,occipital,-0.007389390375465155
wpli,alpha,occipital,temporal,0.00287611479870975
wpli,alpha,temporal,frontal,0.01329805888235569
wpli,alpha,temporal,frontal_central,0.010503405705094337
wpli,alpha,temporal,central,-0.005234712269157171
wpli,alpha,temporal,parietal,0.005697852466255426
wpli,alpha,temporal,occipital,0.00287611479870975
wpli,alpha,temporal,temporal,0.009705501608550549
wpli,beta,frontal,frontal,0.005811566021293402
wpli,beta,frontal,frontal_central,0.00750498753041029
wpli,beta,frontal,central,-0.011158531531691551
wpli,beta,frontal,parietal,-0.002314609242603183
wpli,beta,frontal,occipital,0.008222157135605812
wpli,beta,frontal,temporal,-0.014919305220246315
wpli,beta,frontal_central,frontal,0.00750498753041029
wpli,beta,frontal_central,frontal_central,0.006523626856505871
wpli,beta,frontal_central,central,0.0005224108463153243
wpli,beta,frontal_central,parietal,0.0051156580448150635
wpli,beta,frontal_central,occipital,3.348588870721869e-05
wpli,beta,frontal_central,temporal,0.006902444176375866
wpli,beta,central,frontal,-0.011158531531691551
wpli,beta,central,frontal_central,0.0005224108463153243
wpli,beta,central,central,-0.0018417596584185958
wpli,beta,central,parietal,0.0017742037307471037
wpli,beta,central,occipital,-0.01580309309065342
wpli,beta,central,temporal,-0.013348901644349098
wpli,beta,parietal,frontal,-0.002314609242603183
wpli,beta,parietal,frontal_central,0.0051156580448150635
wpli,beta,parietal,central,0.0017742037307471037
wpli,beta,parietal,parietal,-0.011437254957854748
wpli,beta,parietal,occipital,-0.02114751935005188
wpli,beta,parietal,temporal,0.0038974464405328035
wpli,beta,occipital,frontal,0.008222157135605812
wpli,beta,occipital,frontal_central,3.348588870721869e-05
wpli,beta,occipital,central,-0.01580309309065342
wpli,beta,occipital,parietal,-0.02114751935005188
wpli,beta,occipital,occipital,-0.025393014773726463
wpli,beta,occipital,temporal,-0.00946131907403469
wpli,beta,temporal,frontal,-0.014919305220246315
wpli,beta,temporal,frontal_central,0.006902444176375866
wpli,beta,temporal,central,-0.013348901644349098
wpli,beta,temporal,parietal,0.0038974464405328035
wpli,beta,temporal,occipital,-0.00946131907403469
wpli,beta,temporal,temporal,0.016958314925432205
wpli,gamma,frontal,frontal,0.016100924462080002
wpli,gamma,frontal,frontal_central,0.016572605818510056
wpli,gamma,frontal,central,-0.007909173145890236
wpli,gamma,frontal,parietal,0.00453378539532423
wpli,gamma,frontal,occipital,-0.002836120082065463
wpli,gamma,frontal,temporal,-0.007081091403961182
wpli,gamma,frontal_central,frontal,0.016572605818510056
wpli,gamma,frontal_central,frontal_central,-0.0019867182709276676
wpli,gamma,frontal_central,central,0.002010828349739313
wpli,gamma,frontal_central,parietal,0.015071183443069458
wpli,gamma,frontal_central,occipital,0.0028522969223558903
wpli,gamma,frontal_central,temporal,0.013480585999786854
wpli,gamma,central,frontal,-0.007909173145890236
wpli,gamma,central,frontal_central,0.002010828349739313
wpli,gamma,central,central,-0.009565779939293861
wpli,gamma,central,parietal,0.0036260962951928377
wpli,gamma,central,occipital,-0.014618540182709694
wpli,gamma,central,temporal,-0.016604751348495483
wpli,gamma,parietal,frontal,0.00453378539532423
wpli,gamma,parietal,frontal_central,0.015071183443069458
wpli,gamma,parietal,central,0.0036260962951928377
wpli,gamma,parietal,parietal,0.010792565532028675
wpli,gamma,parietal,occipital,-0.01708941161632538
wpli,gamma,parietal,temporal,0.01164479274302721
wpli,gamma,occipital,frontal,-0.002836120082065463
wpli,gamma,occipital,frontal_central,0.0028522969223558903
wpli,gamma,occipital,central,-0.014618540182709694
wpli,gamma,occipital,parietal,-0.01708941161632538
wpli,gamma,occipital,occipital,-0.0023344666697084904
wpli,gamma,occipital,temporal,0.0044068871065974236
wpli,gamma,temporal,frontal,-0.007081091403961182
wpli,gamma,temporal,frontal_central,0.013480585999786854
wpli,gamma,temporal,central,-0.016604751348495483
wpli,gamma,temporal,parietal,0.01164479274302721
wpli,gamma,temporal,occipital,0.0044068871065974236
wpli,gamma,temporal,temporal,0.023842494934797287
aec,theta,frontal,frontal,-0.04736154526472092
aec,theta,frontal,frontal_central,-0.028474975377321243
aec,theta,frontal,central,0.022318389266729355
aec,theta,frontal,parietal,-0.03121001087129116
aec,theta,frontal,occipital,-0.0765521377325058
aec,theta,frontal,temporal,-0.0251945611089468
aec,theta,frontal_central,frontal,-0.028474975377321243
aec,theta,frontal_central,frontal_central,-0.006181088276207447
aec,theta,frontal_central,central,-0.03352119401097298
aec,theta,frontal_central,parietal,0.007539649493992329
aec,theta,frontal_central,occipital,-0.0181416068226099
aec,theta,frontal_central,temporal,0.013508285395801067
aec,theta,central,frontal,0.022318389266729355
aec,theta,central,frontal_central,-0.03352119401097298
aec,theta,central,central,0.005752092693001032
aec,theta,central,parietal,-0.02430610917508602
aec,theta,central,occipital,-0.006327900104224682
aec,theta,central,temporal,-0.02143910899758339
aec,theta,parietal,frontal,-0.03121001087129116
aec,theta,parietal,frontal_central,0.007539649493992329
