metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,-0.019714146852493286
wpli,theta,frontal,frontal_central,-0.07034182548522949
wpli,theta,frontal,central,-0.07065680623054504
wpli,theta,frontal,parietal,-0.018814414739608765
wpli,theta,frontal,occipital,-0.068971186876297
wpli,theta,frontal,temporal,-0.08205816149711609
wpli,theta,frontal_central,frontal,-0.07034182548522949
wpli,theta,frontal_central,frontal_central,-0.12165741622447968
wpli,theta,frontal_central,central,-0.03525617718696594
wpli,theta,frontal_central,parietal,0.017007529735565186
wpli,theta,frontal_central,occipital,-0.07228082418441772
wpli,theta,frontal_central,temporal,-0.08832371234893799
wpli,theta,central,frontal,-0.07065680623054504
wpli,theta,central,frontal_central,-0.03525617718696594
wpli,theta,central,central,0.08724048733711243
wpli,theta,central,parietal,-0.06600654125213623
wpli,theta,central,occipital,-0.031020641326904297
wpli,theta,central,temporal,-0.06953766942024231
wpli,theta,parietal,frontal,-0.018814414739608765
wpli,theta,parietal,frontal_central,0.017007529735565186
wpli,theta,parietal,central,-0.06600654125213623
wpli,theta,parietal,parietal,0.0658276379108429
wpli,theta,parietal,occipital,-0.02995195984840393
wpli,theta,parietal,temporal,-0.0931442379951477
wpli,theta,occipital,frontal,-0.068971186876297
wpli,theta,occipital,frontal_central,-0.07228082418441772
wpli,theta,occipital,central,-0.031020641326904297
wpli,theta,occipital,parietal,-0.02995195984840393
wpli,theta,occipital,occipital,-0.04625493288040161
wpli,theta,occipital,temporal,-0.13186265528202057
wpli,theta,temporal,frontal,-0.08205816149711609
wpli,theta,temporal,frontal_central,-0.08832371234893799
wpli,theta,temporal,central,-0.06953766942024231
wpli,theta,temporal,parietal,-0.0931442379951477
wpli,theta,temporal,occipital,-0.13186265528202057
wpli,theta,temporal,temporal,-0.1004689484834671
wpli,alpha,frontal,frontal,-0.04114052653312683
wpli,alpha,frontal,frontal_central,-0.012901008129119873
wpli,alpha,frontal,central,-0.07231307029724121
wpli,alpha,frontal,parietal,-0.044952988624572754
wpli,alpha,frontal,occipital,-0.03399577736854553
wpli,alpha,frontal,temporal,-0.056431859731674194
