metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,-0.03278345614671707
wpli,theta,frontal,frontal_central,-0.03000325709581375
wpli,theta,frontal,central,-0.016459234058856964
wpli,theta,frontal,parietal,-0.012277904897928238
wpli,theta,frontal,occipital,-0.025875039398670197
wpli,theta,frontal,temporal,-0.03227488324046135
wpli,theta,frontal_central,frontal,-0.03000325709581375
wpli,theta,frontal_central,frontal_central,-0.02586127445101738
wpli,theta,frontal_central,central,-0.010369800962507725
wpli,theta,frontal_central,parietal,-0.007700449787080288
wpli,theta,frontal_central,occipital,-0.021768726408481598
wpli,theta,frontal_central,temporal,-0.00538197485730052
wpli,theta,central,frontal,-0.016459234058856964
wpli,theta,central,frontal_central,-0.010369800962507725
wpli,theta,central,central,-0.02010364644229412
wpli,theta,central,parietal,-0.009322881698608398
wpli,theta,central,occipital,-0.00893534254282713
wpli,theta,central,temporal,-1.307162983721355e-05
wpli,theta,parietal,frontal,-0.012277904897928238
wpli,theta,parietal,frontal_central,-0.007700449787080288
wpli,theta,parietal,central,-0.009322881698608398
wpli,theta,parietal,parietal,-0.02365180104970932
wpli,theta,parietal,occipital,-0.008682962507009506
wpli,theta,parietal,temporal,-0.013425784185528755
wpli,theta,occipital,frontal,-0.025875039398670197
wpli,theta,occipital,frontal_central,-0.021768726408481598
wpli,theta,occipital,central,-0.00893534254282713
wpli,theta,occipital,parietal,-0.008682962507009506
wpli,theta,occipital,occipital,0.06386858969926834
wpli,theta,occipital,temporal,-0.013448353856801987
wpli,theta,temporal,frontal,-0.03227488324046135
wpli,theta,temporal,frontal_central,-0.00538197485730052
wpli,theta,temporal,central,-1.307162983721355e-05
wpli,theta,temporal,parietal,-0.013425784185528755
wpli,theta,temporal,occipital,-0.013448353856801987
wpli,theta,temporal,temporal,-0.01633431762456894
wpli,alpha,frontal,frontal,-0.0011372731532901525
wpli,alpha,frontal,frontal_central,-0.00744957709684968
wpli,alpha,frontal,central,-0.008785827085375786
wpli,alpha,frontal,parietal,-0.005108816549181938
wpli,alpha,frontal,occipital,-0.014444987289607525
wpli,alpha,frontal,temporal,-0.017458472400903702
wpli,alpha,frontal_central,frontal,-0.00744957709684968
wpli,alpha,frontal_central,frontal_central,0.00772908004000783
wpli,alpha,frontal_central,central,0.0013947023544460535
wpli,alpha,frontal_central,parietal,-0.006268719676882029
wpli,alpha,frontal_central,occipital,-0.0018710361327975988
wpli,alpha,frontal_central,temporal,-0.0014294120483100414
wpli,alpha,central,frontal,-0.008785827085375786
wpli,alpha,central,frontal_central,0.0013947023544460535
wpli,alpha,central,central,-0.0002868771553039551
wpli,alpha,central,parietal,-0.014204402454197407
wpli,alpha,central,occipital,-0.014341797679662704
wpli,alpha,central,temporal,-0.002190146129578352
wpli,alpha,parietal,frontal,-0.005108816549181938
wpli,alpha,parietal,frontal_central,-0.006268719676882029
wpli,alpha,parietal,central,-0.014204402454197407
wpli,alpha,parietal,parietal,-0.015504174865782261
wpli,alpha,parietal,occipital,-0.006063512526452541
wpli,alpha,parietal,temporal,-0.003292183158919215
wpli,alpha,occipital,frontal,-0.014444987289607525
wpli,alpha,occipital,frontal_central,-0.0018710361327975988
wpli,alpha,occipital,central,-0.014341797679662704
wpli,alpha,occipital,parietal,-0.006063512526452541
wpli,alpha,occipital,occipital,-0.013034624978899956
wpli,alpha,occipital,temporal,-0.005186024587601423
wpli,alpha,temporal,frontal,-0.017458472400903702
wpli,alpha,temporal,frontal_central,-0.0014294120483100414
wpli,alpha,temporal,central,-0.002190146129578352
wpli,alpha,temporal,parietal,-0.003292183158919215
wpli,alpha,temporal,occipital,-0.005186024587601423
wpli,alpha,temporal,temporal,-0.007605867460370064
wpli,beta,frontal,frontal,0.0014928943710401654
wpli,beta,frontal,frontal_central,-0.006329327821731567
wpli,beta,frontal,central,0.006807350553572178
wpli,beta,frontal,parietal,0.007610910572111607
wpli,beta,frontal,occipital,-0.008671094663441181
