metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,0.03309480845928192
wpli,theta,frontal,frontal_central,0.023018207401037216
wpli,theta,frontal,central,-0.00491314148530364
wpli,theta,frontal,parietal,0.008622927591204643
wpli,theta,frontal,occipital,0.00497274287045002
wpli,theta,frontal,temporal,0.027244053781032562
wpli,theta,frontal_central,frontal,0.023018207401037216
wpli,theta,frontal_central,frontal_central,0.021174483001232147
wpli,theta,frontal_central,central,-0.0006136364536359906
wpli,theta,frontal_central,parietal,-0.00015724037075415254
wpli,theta,frontal_central,occipital,-0.002663473365828395
wpli,theta,frontal_central,temporal,0.02515876293182373
wpli,theta,central,frontal,-0.00491314148530364
wpli,theta,central,frontal_central,-0.0006136364536359906
wpli,theta,central,central,-0.030550437048077583
wpli,theta,central,parietal,0.007984125055372715
wpli,theta,central,occipital,-0.003920627757906914
wpli,theta,central,temporal,-0.0013157030334696174
wpli,theta,parietal,frontal,0.008622927591204643
wpli,theta,parietal,frontal_central,-0.00015724037075415254
wpli,theta,parietal,central,0.007984125055372715
wpli,theta,parietal,parietal,0.006296104751527309
wpli,theta,parietal,occipital,-0.0024172465782612562
wpli,theta,parietal,temporal,0.00222958461381495
wpli,theta,occipital,frontal,0.00497274287045002
wpli,theta,occipital,frontal_central,-0.002663473365828395
wpli,theta,occipital,central,-0.003920627757906914
wpli,theta,occipital,parietal,-0.0024172465782612562
wpli,theta,occipital,occipital,-0.02206769399344921
wpli,theta,occipital,temporal,-0.0017872718162834644
wpli,theta,temporal,frontal,0.027244053781032562
wpli,theta,temporal,frontal_central,0.02515876293182373
wpli,theta,temporal,central,-0.0013157030334696174
wpli,theta,temporal,parietal,0.00222958461381495
wpli,theta,temporal,occipital,-0.0017872718162834644
wpli,theta,temporal,temporal,0.027782298624515533
wpli,alpha,frontal,frontal,0.011426389217376709
wpli,alpha,frontal,frontal_central,0.018888341262936592
wpli,alpha,frontal,central,0.0028805071488022804
wpli,alpha,frontal,parietal,0.0007513529853895307
wpli,alpha,frontal,occipital,0.0073117283172905445
wpli,alpha,frontal,temporal,0.02271350473165512
wpli,alpha,frontal_central,frontal,0.018888341262936592
wpli,alpha,frontal_central,frontal_central,0.030329793691635132
wpli,alpha,frontal_central,central,0.008800125680863857
wpli,alpha,frontal_central,parietal,0.006475859321653843
wpli,alpha,frontal_central,occipital,0.014536221511662006
wpli,alpha,frontal_central,temporal,0.025176919996738434
wpli,alpha,central,frontal,0.0028805071488022804
wpli,alpha,central,frontal_central,0.008800125680863857
wpli,alpha,central,central,-0.022154685109853745
wpli,alpha,central,parietal,0.006590733770281076
wpli,alpha,central,occipital,0.0028439993038773537
wpli,alpha,central,temporal,-0.01450248435139656
wpli,alpha,parietal,frontal,0.0007513529853895307
wpli,alpha,parietal,frontal_central,0.006475859321653843
wpli,alpha,parietal,central,0.006590733770281076
wpli,alpha,parietal,parietal,0.002087189117446542
wpli,alpha,parietal,occipital,0.009394741617143154
wpli,alpha,parietal,temporal,0.008894877508282661
wpli,alpha,occipital,frontal,0.0073117283172905445
wpli,alpha,occipital,frontal_central,0.014536221511662006
wpli,alpha,occipital,central,0.0028439993038773537
wpli,alpha,occipital,parietal,0.009394741617143154
wpli,alpha,occipital,occipital,0.0010316736297681928
wpli,alpha,occipital,temporal,0.012143760919570923
wpli,alpha,temporal,frontal,0.02271350473165512
wpli,alpha,temporal,frontal_central,0.025176919996738434
wpli,alpha,temporal,central,-0.01450248435139656
wpli,alpha,temporal,parietal,0.008894877508282661
wpli,alpha,temporal,occipital,0.012143760919570923
wpli,alpha,temporal,temporal,-0.0012591746635735035
wpli,beta,frontal,frontal,0.001358552137389779
wpli,beta,frontal,frontal_central,0.012404263019561768
wpli,beta,frontal,central,-0.00024414394283667207
wpli,beta,frontal,parietal,0.0002655254502315074
wpli,beta,frontal,occipital,0.004985580686479807
wpli,beta,frontal,temporal,0.005001068115234375
wpli,beta,frontal_central,frontal,0.012404263019561768
wpli,beta,frontal_central,frontal_central,0.016186773777008057
wpli,beta,frontal_central,central,-0.0002073778014164418
wpli,beta,frontal_central,parietal,-0.0037683844566345215
wpli,beta,frontal_central,occipital,0.016597453504800797
wpli,beta,frontal_central,temporal,0.007258858997374773
wpli,beta,central,frontal,-0.00024414394283667207
wpli,beta,central,frontal_central,-0.0002073778014164418
wpli,beta,central,central,-0.017608463764190674
wpli,beta,central,parietal,-0.0008761882781982422
wpli,beta,central,occipital,0.001241319696418941
wpli,beta,central,temporal,-0.003447542665526271
wpli,beta,parietal,frontal,0.0002655254502315074
wpli,beta,parietal,frontal_central,-0.0037683844566345215
wpli,beta,parietal,central,-0.0008761882781982422
wpli,beta,parietal,parietal,-0.004111061338335276
wpli,beta,parietal,occipital,0.004907512106001377
wpli,beta,parietal,temporal,0.0031162335071712732
wpli,beta,occipital,frontal,0.004985580686479807
wpli,beta,occipital,frontal_central,0.016597453504800797
wpli,beta,occipital,central,0.001241319696418941
wpli,beta,occipital,parietal,0.004907512106001377
wpli,beta,occipital,occipital,0.0015816324157640338
wpli,beta,occipital,temporal,0.00889499019831419
wpli,beta,temporal,frontal,0.005001068115234375
wpli,beta,temporal,frontal_central,0.007258858997374773
wpli,beta,temporal,central,-0.003447542665526271
wpli,beta,temporal,parietal,0.0031162335071712732
wpli,beta,temporal,occipital,0.00889499019831419
wpli,beta,temporal,temporal,0.0006451606750488281
wpli,gamma,frontal,frontal,0.0059096417389810085
wpli,gamma,frontal,frontal_central,0.011956393718719482
wpli,gamma,frontal,central,0.0028336148243397474
wpli,gamma,frontal,parietal,0.002644449472427368
wpli,gamma,frontal,occipital,0.004564692731946707
wpli,gamma,frontal,temporal,-0.014517264440655708
wpli,gamma,frontal_central,frontal,0.011956393718719482
wpli,gamma,frontal_central,frontal_central,-0.004675471223890781
wpli,gamma,frontal_central,central,-0.007223139051347971
