metric,band,roi_a,roi_b,delta
wpli,theta,frontal,frontal,-0.017077114433050156
wpli,theta,frontal,frontal_central,0.009299054741859436
wpli,theta,frontal,central,-0.0011501424014568329
wpli,theta,frontal,parietal,-0.00542614609003067
wpli,theta,frontal,occipital,-0.004034511744976044
wpli,theta,frontal,temporal,-0.0032507814466953278
wpli,theta,frontal_central,frontal,0.009299054741859436
wpli,theta,frontal_central,frontal_central,0.015320861712098122
wpli,theta,frontal_central,central,0.008959174156188965
wpli,theta,frontal_central,parietal,0.008670110255479813
wpli,theta,frontal_central,occipital,0.009943444281816483
wpli,theta,frontal_central,temporal,0.02660376951098442
wpli,theta,central,frontal,-0.0011501424014568329
wpli,theta,central,frontal_central,0.008959174156188965
wpli,theta,central,central,0.028146512806415558
wpli,theta,central,parietal,0.0004051998257637024
wpli,theta,central,occipital,-0.023849019780755043
wpli,theta,central,temporal,-0.0001432262361049652
wpli,theta,parietal,frontal,-0.00542614609003067
wpli,theta,parietal,frontal_central,0.008670110255479813
wpli,theta,parietal,central,0.0004051998257637024
wpli,theta,parietal,parietal,-0.009319048374891281
wpli,theta,parietal,occipital,0.031597334891557693
wpli,theta,parietal,temporal,0.010036703199148178
wpli,theta,occipital,frontal,-0.004034511744976044
wpli,theta,occipital,frontal_central,0.009943444281816483
wpli,theta,occipital,central,-0.023849019780755043
wpli,theta,occipital,parietal,0.031597334891557693
wpli,theta,occipital,occipital,0.04283111169934273
wpli,theta,occipital,temporal,0.00591200590133667
wpli,theta,temporal,frontal,-0.0032507814466953278
wpli,theta,temporal,frontal_central,0.02660376951098442
wpli,theta,temporal,central,-0.0001432262361049652
wpli,theta,temporal,parietal,0.010036703199148178
wpli,theta,temporal,occipital,0.00591200590133667
wpli,theta,temporal,temporal,0.010876879096031189
wpli,alpha,frontal,frontal,-0.00775374099612236
wpli,alpha,frontal,frontal_central,-0.004497535526752472
wpli,alpha,frontal,central,-0.010968398302793503
wpli,alpha,frontal,parietal,0.0032787732779979706
wpli,alpha,frontal,occipital,0.011259935796260834
wpli,alpha,frontal,temporal,-0.012222681194543839
wpli,alpha,frontal_central,frontal,-0.004497535526752472
wpli,alpha,frontal_central,frontal_central,-0.013853602111339569
wpli,alpha,frontal_central,central,0.0012324340641498566
wpli,alpha,frontal_central,parietal,0.010769899934530258
wpli,alpha,frontal_central,occipital,-0.012603651732206345
wpli,alpha,frontal_central,temporal,0.007912840694189072
wpli,alpha,central,frontal,-0.010968398302793503
wpli,alpha,central,frontal_central,0.0012324340641498566
wpli,alpha,central,central,0.01724984496831894
wpli,alpha,central,parietal,0.013598434627056122
wpli,alpha,central,occipital,-0.002903919667005539
wpli,alpha,central,temporal,-0.0026232004165649414
wpli,alpha,parietal,frontal,0.0032787732779979706
wpli,alpha,parietal,frontal_central,0.010769899934530258
wpli,alpha,parietal,central,0.013598434627056122
wpli,alpha,parietal,parietal,0.002814140170812607
wpli,alpha,parietal,occipital,0.0063885413110256195
wpli,alpha,parietal,temporal,0.006335560232400894
wpli,alpha,occipital,frontal,0.011259935796260834
wpli,alpha,occipital,frontal_central,-0.012603651732206345
wpli,alpha,occipital,central,-0.002903919667005539
wpli,alpha,occipital,parietal,0.0063885413110256195
wpli,alpha,occipital,occipital,0.04074731096625328
wpli,alpha,occipital,temporal,-0.004342947155237198
wpli,alpha,temporal,frontal,-0.012222681194543839
wpli,alpha,temporal,frontal_central,0.007912840694189072
wpli,alpha,temporal,central,-0.0026232004165649414
wpli,alpha,temporal,parietal,0.006335560232400894
wpli,alpha,temporal,occipital,-0.004342947155237198
wpli,alpha,temporal,temporal,0.0025592930614948273
wpli,beta,frontal,frontal,-0.003926999866962433
wpli,beta,frontal,frontal_central,-0.0007582865655422211
wpli,beta,frontal,central,-0.0014261379837989807
wpli,beta,frontal,parietal,-0.0016248226165771484
wpli,beta,frontal,occipital,0.00014758482575416565
wpli,beta,frontal,temporal,-0.007556300610303879
wpli,beta,frontal_central,frontal,-0.0007582865655422211
wpli,beta,frontal_central,frontal_central,0.0020327195525169373
wpli,beta,frontal_central,central,0.0062886737287044525
wpli,beta,frontal_central,parietal,0.012380044907331467
wpli,beta,frontal_central,occipital,-0.007428433746099472
wpli,beta,frontal_central,temporal,0.002991408109664917
wpli,beta,central,frontal,-0.0014261379837989807
wpli,beta,central,frontal_central,0.0062886737287044525
wpli,beta,central,central,0.007877785712480545
wpli,beta,central,parietal,0.004858966916799545
wpli,beta,central,occipital,0.012204602360725403
wpli,beta,central,temporal,-0.00150391086935997
wpli,beta,parietal,frontal,-0.0016248226165771484
wpli,beta,parietal,frontal_central,0.012380044907331467
wpli,beta,parietal,central,0.004858966916799545
wpli,beta,parietal,parietal,-0.01143985241651535
wpli,beta,parietal,occipital,-0.005044940859079361
wpli,beta,parietal,temporal,0.006210222840309143
wpli,beta,occipital,frontal,0.00014758482575416565
wpli,beta,occipital,frontal_central,-0.007428433746099472
wpli,beta,occipital,central,0.012204602360725403
wpli,beta,occipital,parietal,-0.005044940859079361
wpli,beta,occipital,occipital,0.020782601088285446
wpli,beta,occipital,temporal,-0.007978897541761398
wpli,beta,temporal,frontal,-0.007556300610303879
wpli,beta,temporal,frontal_central,0.002991408109664917
wpli,beta,temporal,central,-0.00150391086935997
wpli,beta,temporal,parietal,0.006210222840309143
wpli,beta,temporal,occipital,-0.007978897541761398
wpli,beta,temporal,temporal,-0.0017729587852954865
wpli,gamma,frontal,frontal,-0.0036563389003276825
wpli,gamma,frontal,frontal_central,-0.0003226138651371002
wpli,gamma,frontal,central,0.004897952079772949
wpli,gamma,frontal,parietal,-0.009018860757350922
wpli,gamma,frontal,occipital,-0.01864996924996376
wpli,gamma,frontal,temporal,0.004655592143535614
wpli,gamma,frontal_central,frontal,-0.0003226138651371002
wpli,gamma,frontal_central,frontal_central,0.005634129047393799
wpli,gamma,frontal_central,central,0.007680762559175491
wpli,gamma,frontal_central,parietal,0.012630783021450043
wpli,gamma,frontal_central,occipital,-0.01143370196223259
wpli,gamma,frontal_central,temporal,-0.005107898265123367
wpli,gamma,central,frontal,0.004897952079772949
wpli,gamma,central,frontal_central,0.007680762559175491
wpli,gamma,central,central,0.0005432739853858948
wpli,gamma,central,parietal,0.0027760379016399384
wpli,gamma,central,occipital,0.00876283273100853
wpli,gamma,central,temporal,0.001522742211818695
wpli,gamma,parietal,frontal,-0.009018860757350922
wpli,gamma,parietal,frontal_central,0.012630783021450043
wpli,gamma,parietal,central,0.0027760379016399384
wpli,gamma,parietal,parietal,-0.01230471208691597
wpli,gamma,parietal,occipital,-0.001850169152021408
wpli,gamma,parietal,temporal,0.015174444764852524
wpli,gamma,occipital,frontal,-0.01864996924996376
wpli,gamma,occipital,frontal_central,-0.01143370196223259
wpli,gamma,occipital,central,0.00876283273100853
wpli,gamma,occipital,parietal,-0.001850169152021408
wpli,gamma,occipital,occipital,0.016542579978704453
wpli,gamma,occipital,temporal,-0.013167805969715118
wpli,gamma,temporal,frontal,0.004655592143535614
wpli,gamma,temporal,frontal_central,-0.005107898265123367
wpli,gamma,temporal,central,0.001522742211818695
wpli,gamma,temporal,parietal,0.015174444764852524
wpli,gamma,temporal,occipital,-0.013167805969715118
wpli,gamma,temporal,temporal,-0.003333214670419693
aec,theta,frontal,frontal,-0.0364791639149189
aec,theta,frontal,frontal_central,0.004549860954284668
aec,theta,frontal,central,5.0953589379787445e-05
aec,theta,frontal,parietal,-0.028834093362092972
aec,theta,frontal,occipital,-0.013551399111747742
aec,theta,frontal,temporal,0.010450651869177818
aec,theta,frontal_central,frontal,0.004549860954284668
aec,theta,frontal_central,frontal_central,-0.027209829539060593
aec,theta,frontal_central,central,-0.02216782234609127
aec,theta,frontal_central,parietal,-0.018625646829605103
aec,theta,frontal_central,occipital,0.006135925650596619
aec,theta,frontal_central,temporal,-0.00967815238982439
aec,theta,central,frontal,5.0953589379787445e-05
aec,theta,central,frontal_central,-0.02216782234609127
aec,theta,central,central,-0.03596015274524689
aec,theta,central,parietal,-0.021732669323682785
aec,theta,central,occipital,0.008386114612221718
aec,theta,central,temporal,0.009649603627622128
aec,theta,parietal,frontal,-0.028834093362092972
aec,theta,parietal,frontal_central,-0.018625646829605103
aec,theta,parietal,central,-0.021732669323682785
aec,theta,parietal,parietal,-0.023438626900315285
aec,theta,parietal,occipital,-0.00987748708575964
aec,theta,parietal,temporal,0.021571870893239975
aec,theta,occipital,frontal,-0.013551399111747742
aec,theta,occipital,frontal_central,0.006135925650596619
aec,theta,occipital,central,0.008386114612221718
aec,theta,occipital,parietal,-0.00987748708575964
aec,theta,occipital,occipital,-0.010524492710828781
aec,theta,occipital,temporal,0.05120381340384483
aec,theta,temporal,frontal,0.010450651869177818
aec,theta,temporal,frontal_central,-0.00967815238982439
aec,theta,temporal,central,0.009649603627622128
aec,theta,temporal,parietal,0.021571870893239975
aec,theta,temporal,occipital,0.05120381340384483
aec,theta,temporal,temporal,-0.026226066052913666
aec,alpha,frontal,frontal,0.003241056576371193
aec,alpha,frontal,frontal_central,-0.0132328812032938
aec,alpha,frontal,central,-0.02484271302819252
aec,alpha,frontal,parietal,-0.03138495981693268
aec,alpha,frontal,occipital,0.012768924236297607
aec,alpha,frontal,temporal,-0.0025106044486165047
aec,alpha,frontal_central,frontal,-0.0132328812032938
aec,alpha,frontal_central,frontal_central,0.01242099329829216
aec,alpha,frontal_central,central,0.027831410989165306
aec,alpha,frontal_central,parietal,-0.01320737600326538
aec,alpha,frontal_central,occipital,-0.006375478580594063
aec,alpha,frontal_central,temporal,0.021889161318540573
aec,alpha,central,frontal,-0.02484271302819252
aec,alpha,central,frontal_central,0.027831410989165306
aec,alpha,central,central,0.023935697972774506
aec,alpha,central,parietal,-0.02051190845668316
aec,alpha,central,occipital,-0.0065918732434511185
aec,alpha,central,temporal,0.05194094404578209
aec,alpha,parietal,frontal,-0.03138495981693268
aec,alpha,parietal,frontal_central,-0.01320737600326538
aec,alpha,parietal,central,-0.02051190845668316
aec,alpha,parietal,parietal,-0.011545175686478615
aec,alpha,parietal,occipital,-0.008752679452300072
aec,alpha,parietal,temporal,0.012434475123882294
aec,alpha,occipital,frontal,0.012768924236297607
aec,alpha,occipital,frontal_central,-0.006375478580594063
aec,alpha,occipital,central,-0.0065918732434511185
aec,alpha,occipital,parietal,-0.008752679452300072
aec,alpha,occipital,occipital,-0.013381432741880417
aec,alpha,occipital,temporal,0.01644764095544815
aec,alpha,temporal,frontal,-0.0025106044486165047
aec,alpha,temporal,frontal_central,0.021889161318540573
aec,alpha,temporal,central,0.05194094404578209
aec,alpha,temporal,parietal,0.012434475123882294
aec,alpha,temporal,occipital,0.01644764095544815
aec,alpha,temporal,temporal,0.1014992818236351
aec,beta,frontal,frontal,-0.030591266229748726
aec,beta,frontal,frontal_central,-0.013104342855513096
aec,beta,frontal,central,0.0009162384085357189
aec,beta,frontal,parietal,-0.0025302269496023655
aec,beta,frontal,occipital,-0.0006379773840308189
aec,beta,frontal,temporal,-0.04182842746376991
aec,beta,frontal_central,frontal,-0.013104342855513096
aec,beta,frontal_central,frontal_central,-0.006436821538954973
aec,beta,frontal_central,central,-0.035344935953617096
aec,beta,frontal_central,parietal,-0.005569424480199814
aec,beta,frontal_central,occipital,-0.004391179420053959
aec,beta,frontal_central,temporal,-0.016271887347102165
aec,beta,central,frontal,0.0009162384085357189
aec,beta,central,frontal_central,-0.035344935953617096
aec,beta,central,central,-0.004476181697100401
aec,beta,central,parietal,-0.023580633103847504
aec,beta,central,occipital,-0.014886008575558662
aec,beta,central,temporal,-0.015479058027267456
aec,beta,parietal,frontal,-0.0025302269496023655
aec,beta,parietal,frontal_central,-0.005569424480199814
aec,beta,parietal,central,-0.023580633103847504
aec,beta,parietal,parietal,-0.012328787706792355
aec,beta,parietal,occipital,0.014963352121412754
aec,beta,parietal,temporal,0.00028652697801589966
aec,beta,occipital,frontal,-0.0006379773840308189
