accuracy,balanced_accuracy,f1_positive,precision_positive,recall_positive,tn,fp,fn,tp,n,positives,roc_auc,pr_auc,threshold
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.0
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.01
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.02
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.03
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.04
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.05
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.06
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.07
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.08
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.09
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.1
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.11
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.12
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.13
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.14
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.15
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.16
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.17
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.18
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.19
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.2
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.21
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.22
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.23
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.24
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.25
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.26
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.27
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.28
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.29
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.3
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.31
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.32
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.33
0.5,0.5,0.6666666666666666,0.5,1.0,0,240,0,240,480,240,0.5124826388888889,0.5051549865126349,0.34
0.4979166666666667,0.4979166666666667,0.6648122392211405,0.4989561586638831,0.9958333333333333,0,240,1,239,480,240,0.5124826388888889,0.5051549865126349,0.35000000000000003
0.4979166666666667,0.4979166666666667,0.6648122392211405,0.4989561586638831,0.9958333333333333,0,240,1,239,480,240,0.5124826388888889,0.5051549865126349,0.36
0.49583333333333335,0.49583333333333335,0.6629526462395543,0.497907949790795,0.9916666666666667,0,240,2,238,480,240,0.5124826388888889,0.5051549865126349,0.37
0.49375,0.49375,0.6610878661087866,0.4968553459119497,0.9875,0,240,3,237,480,240,0.5124826388888889,0.5051549865126349,0.38
0.4875,0.4875,0.6554621848739496,0.4936708860759494,0.975,0,240,6,234,480,240,0.5124826388888889,0.5051549865126349,0.39
0.48541666666666666,0.48541666666666666,0.6535764375876578,0.492600422832981,0.9708333333333333,0,240,7,233,480,240,0.5124826388888889,0.5051549865126349,0.4
0.4875,0.4875,0.6544943820224719,0.4936440677966102,0.9708333333333333,1,239,7,233,480,240,0.5124826388888889,0.5051549865126349,0.41000000000000003
0.4895833333333333,0.48958333333333337,0.6534653465346535,0.49464668094218417,0.9625,4,236,9,231,480,240,0.5124826388888889,0.5051549865126349,0.42
0.49375,0.49375,0.6543385490753911,0.49676025917926564,0.9583333333333334,7,233,10,230,480,240,0.5124826388888889,0.5051549865126349,0.43
0.49583333333333335,0.4958333333333333,0.6522988505747126,0.49780701754385964,0.9458333333333333,11,229,13,227,480,240,0.5124826388888889,0.5051549865126349,0.44
0.4979166666666667,0.4979166666666667,0.6512301013024602,0.49889135254988914,0.9375,14,226,15,225,480,240,0.5124826388888889,0.5051549865126349,0.45
0.4979166666666667,0.4979166666666666,0.6471449487554904,0.49887133182844245,0.9208333333333333,18,222,19,221,480,240,0.5124826388888889,0.5051549865126349,0.46
0.5020833333333333,0.5020833333333333,0.6448736998514116,0.5011547344110855,0.9041666666666667,24,216,23,217,480,240,0.5124826388888889,0.5051549865126349,0.47000000000000003
0.5083333333333333,0.5083333333333333,0.6289308176100629,0.5050505050505051,0.8333333333333334,44,196,40,200,480,240,0.5124826388888889,0.5051549865126349,0.48
0.50625,0.50625,0.6069651741293532,0.5041322314049587,0.7625,60,180,57,183,480,240,0.5124826388888889,0.5051549865126349,0.49
0.5208333333333334,0.5208333333333334,0.5787545787545788,0.5163398692810458,0.6583333333333333,92,148,82,158,480,240,0.5124826388888889,0.5051549865126349,0.5
0.5291666666666667,0.5291666666666667,0.5551181102362205,0.5261194029850746,0.5875,113,127,99,141,480,240,0.5124826388888889,0.5051549865126349,0.51
0.525,0.5249999999999999,0.5148936170212766,0.5260869565217391,0.5041666666666667,131,109,119,121,480,240,0.5124826388888889,0.5051549865126349,0.52
0.5145833333333333,0.5145833333333333,0.46924829157175396,0.5175879396984925,0.42916666666666664,144,96,137,103,480,240,0.5124826388888889,0.5051549865126349,0.53
0.5020833333333333,0.5020833333333333,0.40399002493765584,0.5031055900621118,0.3375,160,80,159,81,480,240,0.5124826388888889,0.5051549865126349,0.54
0.4979166666666667,0.4979166666666667,0.353887399463807,0.49624060150375937,0.275,173,67,174,66,480,240,0.5124826388888889,0.5051549865126349,0.55
0.49583333333333335,0.49583333333333335,0.29239766081871343,0.49019607843137253,0.20833333333333334,188,52,190,50,480,240,0.5124826388888889,0.5051549865126349,0.56
0.49583333333333335,0.4958333333333333,0.20915032679738563,0.48484848484848486,0.13333333333333333,206,34,208,32,480,240,0.5124826388888889,0.5051549865126349,0.5700000000000001
0.5041666666666667,0.5041666666666667,0.16783216783216784,0.5217391304347826,0.1,218,22,216,24,480,240,0.5124826388888889,0.5051549865126349,0.58
0.4979166666666667,0.4979166666666667,0.13620071684587814,0.48717948717948717,0.07916666666666666,220,20,221,19,480,240,0.5124826388888889,0.5051549865126349,0.59
0.49583333333333335,0.49583333333333335,0.06923076923076923,0.45,0.0375,229,11,231,9,480,240,0.5124826388888889,0.5051549865126349,0.6
0.5020833333333333,0.5020833333333333,0.032388663967611336,0.5714285714285714,0.016666666666666666,237,3,236,4,480,240,0.5124826388888889,0.5051549865126349,0.61
0.49583333333333335,0.49583333333333335,0.0,0.0,0.0,238,2,240,0,480,240,0.5124826388888889,0.5051549865126349,0.62
0.4979166666666667,0.4979166666666667,0.0,0.0,0.0,239,1,240,0,480,240,0.5124826388888889,0.5051549865126349,0.63
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.64
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.65
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.66
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.67
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.68
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.6900000000000001
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.7000000000000001
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.71
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.72
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.73
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.74
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.75
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.76
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.77
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.78
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.79
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.8
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.81
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.8200000000000001
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.8300000000000001
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.84
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.85
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.86
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.87
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.88
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.89
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.9
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.91
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.92
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.93
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.9400000000000001
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.9500000000000001
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.96
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.97
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.98
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,0.99
0.5,0.5,0.0,0.0,0.0,240,0,240,0,480,240,0.5124826388888889,0.5051549865126349,1.0
