eeg_scenario,eeg_metric,eeg_band,eeg_top_connection,eeg_cohens_d,eeg_fdr_p,eeg_perm_p,eeg_direction,eeg_n_subjects,eeg_wilcoxon_fdr_p,eeg_perm_p_raw,behavior_scenario,behavior_feature,behavior_modality,behavior_n_subjects,behavior_n_epochs_scenario,behavior_delta_mean_vs_other_scenarios,behavior_delta_median_vs_other_scenarios,behavior_delta_std,behavior_cohens_d,behavior_t_p_raw,behavior_wilcoxon_p_raw,behavior_direction,behavior_t_p_fdr,behavior_significant
,,,,,,,,,,,broken_image,mouse_acc_abs_mean,mouse,9,19,-947.7442703139386,-1933.2005710673038,1712.1559247931336,-0.5535385279985215,0.13536974475830027,0.1640625,decrease,0.5245855109442236,False
,,,,,,,,,,,button_delay,eye_std,eye,7,40,-0.02079244381855014,-0.019026118983618945,0.017878914388576153,-1.1629589675665994,0.02174910174199047,0.046875,decrease,0.3745106062642778,False
,,,,,,,,,,,coupon_expired,mouse_acc_abs_mean,mouse,4,7,-2573.720838570727,-2246.075203651715,1324.4110398687128,-1.943294612544046,0.030190084306822546,,decrease,0.3745106062642778,False
,,,,,,,,,,,coupon_min_spend,eye_mean,eye,9,34,0.08081444946589356,0.0741796362879732,0.06106058809282734,1.3235124650787087,0.0041158340944267985,0.0078125,increase,0.23048670928790072,False
facet_reset_once,aec,gamma,occipital-occipital,-2.369530685836863,0.016069306873197,,decrease,7.0,0.109375,0.0149253731343283,facet_reset_once,eye_mean,eye,9,33,0.08889892236269686,0.07058902309121384,0.04694096160615315,1.8938453606592445,0.00046416730038668246,0.00390625,increase,0.07798010646496266,False
,,,,,,,,,,,feedback_late,eye_entropy,eye,9,164,-0.07230359018248637,-0.05987718387998209,0.08919978136957807,-0.8105803520180577,0.04109048785992586,0.0390625,decrease,0.3745106062642778,False
,,,,,,,,,,,first_click_miss,mouse_click_count,mouse,9,77,0.40725247784856183,0.31641791044776135,0.5646661736139343,0.7212269777771437,0.062430289464601614,0.0546875,increase,0.4140103888621315,False
network_jitter,aec,theta,frontal-occipital,1.372363979170643,0.0315228230261329,,increase,9.0,0.0615234375,0.0099502487562189,network_jitter,eye_mean,eye,9,145,-0.03134511434797297,-0.03636685006231882,0.03850758425728599,-0.8139984616677736,0.040438451368414556,0.0390625,decrease,0.3745106062642778,False
,,,,,,,,,,,price_change,eye_mean,eye,7,16,-0.10150550645092934,-0.06920391071407417,0.09429516021973117,-1.0764657084668638,0.029255927357465926,0.03125,decrease,0.3745106062642778,False
skeleton_prolong,wpli,gamma,parietal-temporal,1.7184577742622855,0.0182400828322178,,increase,9.0,0.08203125,0.0099502487562189,skeleton_prolong,eye_entropy,eye,9,39,0.2270936472712012,0.2539754937385026,0.22659010017623862,1.002222281973356,0.016899132751641534,0.01953125,increase,0.35488178778447227,False
,,,,,,,,,,,slow_image,eye_range,eye,9,43,-0.09054701845592546,-0.08291196792120115,0.07767495861421342,-1.165716983585964,0.00811289326824996,0.01953125,decrease,0.2922563760305413,False
sort_reset,aec,beta,frontal-temporal,-1.7800469380538508,0.0316123299452125,,decrease,8.0,0.1640625,0.0199004975124378,sort_reset,mouse_click_rate,mouse,8,30,-0.0026875055964898503,-0.002440762387685999,0.0022076216078302257,-1.2173760154174615,0.010789413293580711,0.0234375,decrease,0.2922563760305413,False
