interpretation_status,scenario,metric,band,connection,network_category,direction,delta_mean,cohens_d,t_p_raw,t_p_fdr,wilcoxon_p_raw,wilcoxon_p_fdr,perm_p_raw,n_subjects,reliability_flag
confirmatory_fdr_significant,facet_reset_once,aec,gamma,occipital-occipital,visual_occipital,decrease,-0.1030374690890312,-2.369530685836863,0.0007652050891998,0.016069306873197,0.015625,0.109375,0.0149253731343283,7,usable_n
confirmatory_fdr_significant,skeleton_prolong,wpli,gamma,parietal-temporal,parietal_temporal,increase,0.0307579766958951,1.7184577742622855,0.0008685753729627,0.0182400828322178,0.00390625,0.08203125,0.0099502487562189,9,usable_n
confirmatory_fdr_significant,facet_reset_once,wpli,beta,frontal_central-parietal,fronto-parietal_control,decrease,-0.0117689920589327,-2.198649888849636,0.0011339578082864,0.0238131139740157,0.015625,0.328125,0.0298507462686567,7,usable_n
confirmatory_fdr_significant,network_jitter,aec,theta,frontal-occipital,visual_occipital,increase,0.0858271420001983,1.372363979170643,0.0033576339163129,0.0315228230261329,0.0078125,0.0615234375,0.0099502487562189,9,usable_n
confirmatory_fdr_significant,network_jitter,aec,theta,frontal_central-parietal,fronto-parietal_control,increase,0.0339186042547225,1.3103644266974142,0.0043499979263407,0.0315228230261329,0.0078125,0.0615234375,0.0099502487562189,9,usable_n
confirmatory_fdr_significant,network_jitter,aec,theta,parietal-occipital,visual_occipital,increase,0.0423004180192947,1.3021635282634565,0.0045032604323047,0.0315228230261329,0.01171875,0.0615234375,0.0099502487562189,9,usable_n
confirmatory_fdr_significant,sort_reset,aec,beta,frontal-temporal,other,decrease,-0.0418284311890602,-1.7800469380538508,0.0015053490450101,0.0316123299452125,0.0078125,0.1640625,0.0199004975124378,8,usable_n
confirmatory_fdr_significant,facet_reset_once,aec,gamma,frontal-central,other,decrease,-0.0271101128309965,-1.7246436310060889,0.003838823827025,0.0403076501837625,0.015625,0.109375,0.0149253731343283,7,usable_n
exploratory_trend,button_delay,aec,gamma,occipital-occipital,visual_occipital,decrease,-0.1038716435432434,-1.854587298362392,0.0026924221698597,0.056540865567054,0.015625,0.328125,0.0099502487562189,7,usable_n
exploratory_trend,skeleton_prolong,wpli,beta,parietal-temporal,parietal_temporal,increase,0.0157129429280757,1.4128578131852507,0.0028429857323752,0.0597027003798807,0.00390625,0.08203125,0.0049751243781094,9,usable_n
exploratory_trend,network_jitter,aec,theta,central-temporal,other,increase,0.043488573282957,1.0464114456742697,0.013821196823734,0.0666111034124411,0.01171875,0.0615234375,0.0199004975124378,9,usable_n
exploratory_trend,network_jitter,aec,theta,frontal-parietal,fronto-parietal_control,increase,0.0440865941345691,1.0161298275723565,0.0158597865267716,0.0666111034124411,0.01953125,0.08203125,0.0348258706467661,9,usable_n
exploratory_trend,button_delay,aec,beta,occipital-occipital,visual_occipital,decrease,-0.0953370109200477,-1.771022128995532,0.0033759342568381,0.0708946193936004,0.015625,0.1640625,0.0049751243781094,7,usable_n
exploratory_trend,broken_image,aec,theta,frontal-parietal,fronto-parietal_control,decrease,-0.0577092766761779,-1.3391274144461658,0.0038551901160453,0.0809589924369524,0.0078125,0.1640625,0.0149253731343283,9,usable_n
exploratory_trend,network_jitter,aec,theta,frontal-temporal,other,increase,0.0464471243321895,0.9176975534302932,0.0249394705698805,0.0872881469945818,0.0390625,0.13671875,0.044776119402985,9,usable_n
exploratory_trend,feedback_late,wpli,theta,frontal_central-occipital,visual_occipital,increase,0.0193418767303228,1.2980069486258894,0.0045831450745277,0.096246046565082,0.01171875,0.1171875,0.0199004975124378,9,usable_n
exploratory_trend,coupon_min_spend,aec,beta,frontal_central-central,sensorimotor,increase,0.0295458957552909,1.2913390532444011,0.0047144852260763,0.0990041897476029,0.00390625,0.08203125,0.0099502487562189,9,usable_n
exploratory_trend,feedback_late,wpli,alpha,parietal-parietal,other,decrease,-0.0146484142169356,-1.2803234603827998,0.004940383073546,0.103748044544468,0.0078125,0.1640625,0.0049751243781094,9,usable_n
exploratory_trend,feedback_late,wpli,theta,frontal_central-central,other,increase,0.0167219433933496,0.8984608482651808,0.0272683373272898,0.106104844053031,0.0390625,0.1171875,0.0298507462686567,9,usable_n
exploratory_trend,feedback_late,wpli,theta,frontal-occipital,visual_occipital,increase,0.0158763006329536,0.8794743704649058,0.029786135105866,0.106104844053031,0.02734375,0.1171875,0.0199004975124378,9,usable_n
exploratory_trend,feedback_late,wpli,theta,frontal-parietal,fronto-parietal_control,increase,0.0215486250817775,0.8677640833551769,0.0314564641080221,0.106104844053031,0.0546875,0.1435546875,0.0348258706467661,9,usable_n
exploratory_trend,feedback_late,wpli,theta,central-parietal,other,increase,0.0228661522269248,0.8263333630791473,0.0381711165423623,0.106104844053031,0.0390625,0.1171875,0.0398009950248756,9,usable_n
exploratory_trend,feedback_late,wpli,theta,frontal_central-temporal,other,increase,0.0153614711016416,0.8237129930821987,0.0386417807738428,0.106104844053031,0.09765625,0.205078125,0.0696517412935323,9,usable_n
exploratory_trend,feedback_late,wpli,theta,frontal_central-frontal_central,other,increase,0.0156192909926176,0.8154990540396665,0.0401555110877971,0.106104844053031,0.0390625,0.1171875,0.0398009950248756,9,usable_n
exploratory_trend,feedback_late,wpli,theta,parietal-temporal,parietal_temporal,increase,0.0209412015974521,0.8140912490687775,0.0404208929725832,0.106104844053031,0.0390625,0.1171875,0.0149253731343283,9,usable_n
exploratory_trend,first_click_miss,aec,beta,frontal_central-parietal,fronto-parietal_control,increase,0.0224467366933822,1.4191861452225154,0.0050979015423645,0.1070559323896547,0.0078125,0.1640625,0.0049751243781094,8,usable_n
exploratory_trend,coupon_min_spend,aec,alpha,frontal-central,other,increase,0.0840766951441764,1.1345884609923915,0.0093085106387733,0.1093282500267763,0.01953125,0.13671875,0.0248756218905472,9,usable_n
