scenario,max_n_subjects,min_n_subjects,n_tests,n_significant,n_raw_p_lt_05,max_abs_d,min_fdr_p,reliability_flag
facet_reset_once,7,7,168,3,12,2.369530685836863,0.016069306873197,usable_n
network_jitter,9,9,168,3,10,1.372363979170643,0.0315228230261329,usable_n
sort_reset,8,8,168,1,5,1.7800469380538508,0.0316123299452125,usable_n
skeleton_prolong,9,9,168,1,14,1.7184577742622855,0.0182400828322178,usable_n
coupon_expired,4,4,168,0,11,3.4977938633494263,0.1259383476527799,very_low_n
price_change,5,5,168,0,1,1.9097098016878824,0.2719007675966618,limited_n
button_delay,7,7,168,0,7,1.854587298362392,0.056540865567054,usable_n
first_click_miss,8,8,168,0,14,1.4191861452225154,0.1070559323896547,usable_n
broken_image,9,9,168,0,5,1.3391274144461658,0.0809589924369524,usable_n
feedback_late,9,9,168,0,14,1.2980069486258894,0.096246046565082,usable_n
coupon_min_spend,9,9,168,0,19,1.2913390532444011,0.0990041897476029,usable_n
slow_image,9,9,168,0,6,1.2522000739530732,0.1169985619339717,usable_n
overlay_blocking,1,1,168,0,0,0.0,1.0,very_low_n
search_irrelevant,1,1,168,0,0,0.0,1.0,very_low_n
