metric,scenario,band,roi_a,roi_b,delta_mean,cohens_d,t_p_raw,t_p_fdr,wilcoxon_p_raw,wilcoxon_p_fdr,perm_p_raw,direction,significant,n_subjects,connection,abs_d,network_category,reliability_flag,interpretation_status
aec,facet_reset_once,gamma,occipital,occipital,-0.1030374690890312,-2.369530685836863,0.0007652050891998,0.016069306873197,0.015625,0.109375,0.0149253731343283,decrease,True,7,occipital-occipital,2.369530685836863,visual_occipital,usable_n,confirmatory_fdr_significant
aec,sort_reset,beta,frontal,temporal,-0.0418284311890602,-1.7800469380538508,0.0015053490450101,0.0316123299452125,0.0078125,0.1640625,0.0199004975124378,decrease,True,8,frontal-temporal,1.7800469380538508,other,usable_n,confirmatory_fdr_significant
wpli,skeleton_prolong,gamma,parietal,temporal,0.0307579766958951,1.7184577742622855,0.0008685753729627,0.0182400828322178,0.00390625,0.08203125,0.0099502487562189,increase,True,9,parietal-temporal,1.7184577742622855,parietal_temporal,usable_n,confirmatory_fdr_significant
aec,network_jitter,theta,frontal,occipital,0.0858271420001983,1.372363979170643,0.0033576339163129,0.0315228230261329,0.0078125,0.0615234375,0.0099502487562189,increase,True,9,frontal-occipital,1.372363979170643,visual_occipital,usable_n,confirmatory_fdr_significant
wpli,price_change,gamma,frontal,frontal,0.01610092446208,1.9097098016878824,0.012947655599841,0.2719007675966618,0.0625,0.9375,0.0895522388059701,increase,False,5,frontal-frontal,1.9097098016878824,other,limited_n,exploratory_trend
aec,button_delay,gamma,occipital,occipital,-0.1038716435432434,-1.854587298362392,0.0026924221698597,0.056540865567054,0.015625,0.328125,0.0099502487562189,decrease,False,7,occipital-occipital,1.854587298362392,visual_occipital,usable_n,exploratory_trend
aec,first_click_miss,beta,frontal_central,parietal,0.0224467366933822,1.4191861452225154,0.0050979015423645,0.1070559323896547,0.0078125,0.1640625,0.0049751243781094,increase,False,8,frontal_central-parietal,1.4191861452225154,fronto-parietal_control,usable_n,exploratory_trend
aec,broken_image,theta,frontal,parietal,-0.0577092766761779,-1.3391274144461658,0.0038551901160453,0.0809589924369524,0.0078125,0.1640625,0.0149253731343283,decrease,False,9,frontal-parietal,1.3391274144461658,fronto-parietal_control,usable_n,exploratory_trend
wpli,feedback_late,theta,frontal_central,occipital,0.0193418767303228,1.2980069486258894,0.0045831450745277,0.096246046565082,0.01171875,0.1171875,0.0199004975124378,increase,False,9,frontal_central-occipital,1.2980069486258894,visual_occipital,usable_n,exploratory_trend
aec,coupon_min_spend,beta,frontal_central,central,0.0295458957552909,1.2913390532444011,0.0047144852260763,0.0990041897476029,0.00390625,0.08203125,0.0099502487562189,increase,False,9,frontal_central-central,1.2913390532444011,sensorimotor,usable_n,exploratory_trend
wpli,slow_image,alpha,frontal,temporal,0.0227135047316551,1.2522000739530732,0.0055713600920938,0.1169985619339717,0.00390625,0.08203125,0.0049751243781094,increase,False,9,frontal-temporal,1.2522000739530732,other,usable_n,exploratory_trend
wpli,coupon_expired,alpha,central,occipital,-0.0382430329918861,-3.4977938633494263,0.0059970641739419,0.1259383476527799,0.125,0.525,0.1293532338308457,decrease,False,4,central-occipital,3.4977938633494263,visual_occipital,very_low_n,weak_or_no_effect
wpli,overlay_blocking,theta,frontal,frontal,-0.0025193095207214,0.0,1.0,1.0,1.0,1.0,,decrease,False,1,frontal-frontal,0.0,other,very_low_n,weak_or_no_effect
wpli,search_irrelevant,theta,frontal,frontal,-0.0197141468524932,0.0,1.0,1.0,1.0,1.0,,decrease,False,1,frontal-frontal,0.0,other,very_low_n,weak_or_no_effect
