id,session_id,user_id,experiment_group,event_type,event_data,page_url,timestamp,relative_t_ms,created_at
946,8888c7b1-8f92-43f6-830e-007748322043,,control,page_view,"{""url"":""http://localhost:3000/login""}",http://localhost:3000/login,1766399215592,,2025-12-22 10:26:58
947,8888c7b1-8f92-43f6-830e-007748322043,,control,page_view,"{""url"":""http://localhost:3000/""}",http://localhost:3000/,1766406314225,,2025-12-22 12:25:17
948,8888c7b1-8f92-43f6-830e-007748322043,,control,page_view,"{""url"":""http://localhost:3000/checkout""}",http://localhost:3000/checkout,1766406530507,,2025-12-22 12:28:53
949,d63f258f-d166-466a-9c28-4314e59d1f24,10,variant_a,page_view,"{""url"":""http://localhost:3000/""}",http://localhost:3000/,1766407412908,,2025-12-22 12:43:36
950,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766407416909}}",http://localhost:3000/,1766407417040,,2025-12-22 12:43:37
951,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766407468923}}",http://localhost:3000/cart,1766407468947,,2025-12-22 12:44:29
952,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":2,""status"":""triggered"",""details"":{""name"":""Broken Image"",""type"":""broken_image"",""timestamp"":1766407519909}}",http://localhost:3000/products?category=electronics,1766407519914,,2025-12-22 12:45:19
953,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":9,""status"":""triggered"",""details"":{""name"":""Sort Reset"",""type"":""sort_reset"",""timestamp"":1766407573911}}",http://localhost:3000/products?category=home,1766407573930,,2025-12-22 12:46:13
954,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766407632924}}",http://localhost:3000/product/24,1766407632933,,2025-12-22 12:47:13
955,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":9,""status"":""triggered"",""details"":{""name"":""Sort Reset"",""type"":""sort_reset"",""timestamp"":1766407684912}}",http://localhost:3000/products,1766407684922,,2025-12-22 12:48:04
956,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":5,""status"":""triggered"",""details"":{""name"":""First Click Miss"",""type"":""first_click_miss"",""timestamp"":1766407738912}}",http://localhost:3000/cart,1766407738916,,2025-12-22 12:48:58
